author,title,journal,volume,number,pages,year,doi,URL,eprint,notes,contributor_id,date_created,date_updated,citation_id
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"unpublished data or assumption",1,"2019-02-04 14:46:57","2019-02-04 14:46:57",1
"Antrekowitsch, J., Steinlechner, S., Unger, A., Rosler, G., Pichler, C., and Rumpold, R.","Handbook of Recycling - State-of-the-Art for Practitioners, Analysts, and Scientists (Chapter 9 - Zinc and Residue Recycling)",NULL,NULL,NULL,113-124,2014,NULL,https://www.researchgate.net/publication/291960495_Handbook_of_Recycling_State-of-the-art_for_Practitioners_Analysts_and_Scientists_table_of_contents,NULL,"E. Worrell; M.A. Reuter (Eds.). Handbook of Recycling; Elsevier; Boston",1,"2019-02-04 14:46:57","2019-02-04 14:46:57",2
"Ayres, R.U., and Ayres, L.","A handbook of industrial ecology",NULL,NULL,NULL,NULL,2002,NULL,NULL,NULL,"Edward Elgar Publishing; Cheltenham",1,"2019-02-04 14:46:57","2019-02-04 14:46:57",3
"Bartl, A.","Withdrawal of the circular economy package: A wasted opportunity or a new challenge?","Waste Manage.",44,NULL,"1-2",2015,10.1016/j.wasman.2015.08.003,"https://doi.org/10.1016/j.wasman.2015.08.003 ",NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",4
"Beijing General Research Institute of Mining & Metallurgy (BGRIMM)","China zinc recycling study",NULL,NULL,NULL,NULL,2010,NULL,NULL,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",5
"Beijing General Research Institute of Mining & Metallurgy (BGRIMM)","Study on Chinese zinc first use market",NULL,NULL,NULL,NULL,2012,NULL,NULL,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",6
"Brunner, P.H.","Urban Mining A Contribution to Reindustrializing the City","J. Ind. Ecol.",15,NULL,339-341,2011,10.1111/j.1530-9290.2011.00345.x,https://doi.org/10.1111/j.1530-9290.2011.00345.x,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",7
"Cencic O., and Rechberger, H.","Material flow analysis with software STAN","J. Environ. Eng. Manage.",18,NULL,3,2008,NULL,http://enviroinfo.eu/sites/default/files/pdfs/vol119/0440.pdf,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",8
"Ciacci, L., Reck, B.K., Nassar, N.T., and Graedel, T.E.","Lost by Design","Environ. Sci. Technol.",49,NULL,9443-9451,2015,10.1021/es505515z,https://doi.org/10.1021/es505515z,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",9
"Daigo, S., Osako, Y., Adachi, Y., and Matsuno, Y.","Time-series analysis of global zinc demand associated with steel","Resour. Conserv. Recycl.",82,NULL,35-40,2014,10.1016/j.resconrec.2013.10.013,https://doi.org/10.1016/j.resconrec.2013.10.013,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",10
"Deaux, J., and Matthew, C.","In a world filled with gluts; one metal is suddenly hard to find",NULL,NULL,NULL,NULL,2015,NULL,NULL,NULL,"Retrieved May 29 2015; Bloomberg Business April 8 2015",1,"2019-02-04 14:46:57","2019-02-04 14:46:57",11
"Fellner, J., Lederer, J., Purgar, A., Winterstetter, A., Rechberger, H., and Winter, F.","Evaluation of resource recovery from waste incineration residues - The case of zinc","Waste Manage.",37,NULL,95-103,2015,10.1016/j.wasman.2014.10.010,https://doi.org/10.1016/j.wasman.2014.10.010,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",12
"Froehling,  M., Schwaderer, F., Bartusch, H., and Schultmann, F.","A Material Flow-based Approach to Enhance Resource Efficiency in Production and Recycling Networks","J. Ind. Ecol.",17,NULL,"5-19",2013,10.1111/j.1530-9290.2012.00502.x,"https://doi.org/10.1111/j.1530-9290.2012.00502.x ",NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",13
"Frost & Sullivan","Strategic Analysis of Competitive Positioning of India in Key International Zinc Markets and Strategic Assessment of Zinc Ingots Market in India. Final report",NULL,NULL,NULL,NULL,2011,NULL,NULL,NULL,"Mumbai; Vedanta Resources Plc",1,"2019-02-04 14:46:57","2019-02-04 14:46:57",14
"Goodwin, F.E.","Zinc and zinc alloys",NULL,NULL,NULL,NULL,2012,10.1002/0471238961.2609140307151504.a01.pub3,https://doi.org/10.1002/0471238961.2609140307151504.a01.pub3,NULL,"Kirk-Othmer Encyclopedia of Chemical Technology: John Wiley & Sons Inc.",1,"2019-02-04 14:46:57","2019-02-04 14:46:57",15
"Gordon, R.B., Bertram, M., and Graedel, T.E.","Metal stocks and sustainability","Proc. Natl. Acad. Sci. USA",103,NULL,1209-1214,2006,10.1073/pnas.0509498103,"https://doi.org/10.1073/pnas.0509498103 ",NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",16
"Gordon, R.B., Graedel, T.E., Bertram, M., Fuse, K., Lifset, R., and Rechberger, H.","The characterization of technological zinc cycles","Resour. Conserv. Recycl.",39,NULL,107-135,2003,10.1016/S0921-3449(02)00166-0,https://doi.org/10.1016/S0921-3449(02)00166-0,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",17
"Graedel, T.E., Allwood, J., Birat, J.-P., Buchert, M., Hagelueke, C., and Reck, B.K.","What do we know about metal recycling rates?","J. Ind. Ecol.",15,NULL,355-366,2011,10.1111/j.1530-9290.2011.00342.x,https://doi.org/10.1111/j.1530-9290.2011.00342.x,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",18
"Graedel, T.E., Barr, R., Chandler, C., Chase, T., Choi, J.,  Christoffersen, L., Friedlander, E., Henly, C., Jun, C., Nassar, N.T., Schechner, D.,  Warren, S., Yang, M., and Zhu, C.","Methodology of metal criticality determination","Environ. Sci. Technol.",46,NULL,1063-1070,2012,10.1021/es203534z,https://doi.org/10.1021/es203534z,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",19
"Graedel, T.E., and Cao, J.","Metal spectra as indicators of development","Proc. Natl. Acad. Sci. USA",107,NULL,20905-20910,2010,10.1073/pnas.1011019107,https://doi.org/10.1073/pnas.1011019107,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",20
"Graedel, T.E., Harper, E.M., Nassar, N.T., Nuss, P., and Reck, B.K.","Criticality of metals and metalloids","Proc. Natl. Acad. Sci. USA",112,NULL,4257-4262,2015,10.1073/pnas.1500415112,https://doi.org/10.1073/pnas.1500415112,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",21
