reference_material_id,reference_timeframe_id,reference_space_id,criticality_timeframe_id,criticality_magnitude_normalized,criticality_sr_angle,criticality_ei_angle,criticality_vsr_angle,criticality_sr_id,criticality_ei_id,criticality_vsr_id,affiliation_id,method_id,publication_id,notes,contributor_id,date_created,date_updated,criticality_id
27,109,243,1,23.15711296,49.49523599,86.09541587,40.77355042,100,1,100,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",1
7,109,243,1,17.10317034,79.65598094,56.59096689,35.39080085,101,2,101,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",2
5,109,243,1,16.68953141,89.70268894,87.5594943,2.458570505,102,3,102,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",3
29,109,243,1,28.152426,87.0611553,88.02889011,3.539619913,103,4,103,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",4
2,109,243,1,20.77116463,90,85.04402505,4.955974945,104,5,104,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",5
43,109,243,1,41.86820983,46.41062362,47.65951196,74.5507667,105,6,105,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",6
51,109,243,1,18.59321344,90,85.14775175,4.852248251,106,7,106,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",7
54,109,243,1,32.24868781,42.77505904,82.38013141,48.2370081,107,8,107,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",8
12,109,243,1,44.25891329,54.99402172,88.36526609,35.05558018,108,9,108,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",9
30,109,243,1,38.17965152,88.84366292,89.08049572,1.47744144,109,10,109,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",10
17,109,243,1,33.26110386,90,89.20692307,0.793076932,110,11,110,NULL,NULL,35,"Angles are measure in degrees (0-180) from the Supply Risk (sr), Environmental Implications (ei), and Vulnerability to Supply Restriction (vsr) axes",1,"2019-02-04 14:46:59","2019-02-04 14:46:59",11
