reference_material_id,reference_timeframe_id,reference_space_id,criticality_timeframe_id,ei,affiliation_id,method_id,publication_id,notes,contributor_id,date_created,date_updated,criticality_ei_id
27,109,1674,NULL,2.731247074,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",1
7,109,1674,NULL,16.31109808,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",2
5,109,1674,NULL,1.230922275,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",3
29,109,1674,NULL,1.67717735,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",4
2,109,1674,NULL,3.108037503,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",5
43,109,1674,NULL,48.84332172,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",6
51,109,1674,NULL,2.724057123,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",7
54,109,1674,NULL,7.406560156,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",8
12,109,1674,NULL,2.186889748,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",9
30,109,1674,NULL,1.061219121,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",10
17,109,1674,NULL,0.797399764,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",11
11,109,1674,NULL,4.315922652,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",12
33,109,1674,NULL,10.49935901,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",13
13,109,1674,NULL,17.08975451,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",14
58,109,1674,NULL,2.767443595,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",15
18,109,1674,NULL,19.80500066,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",16
20,109,1674,NULL,26.09454859,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",17
3,109,1674,NULL,6.451907926,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",18
44,109,1674,NULL,10.80383561,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",19
47,109,1674,NULL,1.450879713,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",20
56,109,1674,NULL,5.420094516,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",21
59,109,1674,NULL,0.725683941,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",22
32,109,1674,NULL,4.467144914,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",23
31,109,1674,NULL,24.35856132,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",24
41,109,1674,NULL,54.17377974,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",25
