reference_material_id,reference_timeframe_id,reference_space_id,criticality_timeframe_id,sr,gte,dt,cf,s_r,ppi,hdi,gp,wgi_pv,gsc,affiliation_id,method_id,publication_id,notes,contributor_id,date_created,date_updated,criticality_sr_id
27,109,1673,2,47.75405,26.05144,0,52.10288,59.53611824,37.61928559,81.4529509,57.67457827,39.8747641,75.47439243,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",1
7,109,1673,2,44.41993718,5.319148936,0,10.63829787,58.20848891,28.38034154,88.03663627,69.7321737,43.17638921,96.28795818,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",2
5,109,1673,2,45.51519681,0.15,0,0.3,66.84171668,57.08718653,76.59624683,69.55387374,63.80762223,75.30012526,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",3
29,109,1673,2,47.39477329,2.5,0,5,62.07913598,54.80738429,69.35088768,77.60518388,66.09527443,89.11509333,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",4
2,109,1673,2,42.57922471,0,0,0,65.46082527,53.88455003,77.03710051,62.27684887,57.16847641,67.38522132,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",5
43,109,1673,2,67.0802171,50,0,100,67.56078689,61.12822432,73.99334947,83.6798644,74.80780192,92.55192688,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",6
51,109,1673,2,38.05124275,1.784,3.568,0,60.18250145,44.91395605,75.45104685,52.18722679,39.29631038,65.07814319,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",7
54,109,1673,2,58.93624832,41,0,82,62.74866569,58.57137982,66.92595156,73.06007928,65.93632058,80.18383799,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",8
12,109,1673,2,59.82167129,48.94416807,96.048,1.840336134,64.17982016,63.34413023,65.01551009,66.34102565,57.91623218,74.76581913,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",9
30,109,1673,2,60.81270594,45.7185195,88.768,2.669039,62.7346592,53.78682166,71.68249675,73.98493913,65.80708274,82.16279552,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",10
17,109,1673,2,45.04317935,4.4,8.8,0,63.37990144,53.75829807,73.00150481,67.34963661,59.53539388,75.16387934,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",11
11,109,1673,2,63.40365468,52.724,20.448,85,66.86995821,58.98377704,74.75613937,70.61700583,68.65330032,72.58071134,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",12
33,109,1673,2,46.86369484,17.39024753,32.8,1.980495051,64.75087071,50.86585748,78.63588394,58.44996629,56.43456448,60.4653681,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",13
13,109,1673,2,54.12904327,44.985926,80.848,9.123852,58.34443807,40.05436723,76.6345089,59.05676575,51.32275262,66.79077889,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",14
58,109,1673,2,58.9120594,52.90376937,95.632,10.17553875,63.27404409,50.19216974,76.35591844,60.55836474,55.46476225,65.65196722,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",15
18,109,1673,2,61.00211512,50,0,100,62.44983315,53.88455003,71.01511628,70.55651222,57.71466905,83.39835538,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",16
20,109,1673,2,61.40474151,50,0,100,61.65203888,51.519332,71.78474576,72.56218564,61.9214472,83.20292408,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",17
3,109,1673,2,72.75130927,92.4,92.8,92,54.33442169,40.05436723,68.61447615,71.51950613,65.32900843,77.71000384,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",18
44,109,1673,2,68.82969342,91.6,83.2,100,63.66995601,40.05436723,87.28554479,51.21912424,30.63143508,71.8068134,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",19
47,109,1673,2,62.11006556,48.776,97.552,0,61.62279358,44.55532799,78.69025918,75.93140308,68.8815594,82.98124676,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",20
56,109,1673,2,62.86432912,42.13938345,0,84.2787669,60.68998903,54.85316971,66.52680835,85.76361489,71.65049529,99.87673448,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",21
59,109,1673,2,68.8505139,83.464,66.928,100,62.57564021,50.93780825,74.21347218,60.51190148,42.79717586,78.2266271,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",22
32,109,1673,2,60.52450696,41.016,80.032,2,61.05832429,49.43741909,72.67922948,79.49919658,61.74212227,97.2562709,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",23
31,109,1673,2,64.26754918,65.94780165,85.408,46.48760331,60.73878362,44.90673101,76.57083622,66.11606226,57.77536044,74.45676408,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",24
41,109,1673,2,61.17631937,47.68074138,0,95.36148276,60.45296313,59.31386905,61.5920572,75.3952536,54.04419416,96.74631304,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",25
40,109,1673,2,57.36621969,36.71190395,25.2,48.2238079,60.96524207,59.29928457,62.63119957,74.42151305,55.84346586,92.99956023,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",26
36,109,1673,2,58.19332624,39.80869018,0,79.61738035,64.47485899,57.71839469,71.23132329,70.29642957,60.21593854,80.37692059,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",27
1,109,1673,2,67.39215836,81.03018081,91.168,70.89236162,61.61202233,47.44350747,75.78053718,59.53427196,59.83003106,59.23851286,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",28
9,109,1673,2,71.89604956,93.4,86.8,100,63.75068418,50.19216974,77.30919863,58.5374645,51.10328373,65.97164527,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",29
24,109,1673,2,76.86005266,98.776,97.552,100,63.64070826,51.184706,76.09671053,68.16344972,54.62661311,81.70028633,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",30
46,109,1673,2,62.71565023,47.65162438,92.8,2.503248752,64.17748686,60.18834565,68.16662807,76.31783946,76.31873534,76.31694358,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",31
42,109,1673,2,77.7913461,88.224,96.448,80,61.09187725,55.47202487,66.71172962,84.05816104,71.3538035,96.76251858,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",32
50,109,1673,2,70.22267626,87.856,75.712,100,62.15084559,40.05436723,84.24732394,60.66118318,47.7383532,73.58401317,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",33
6,109,1673,2,61.58810712,47.904,93.808,2,61.62972293,56.47905814,66.78038773,75.23059841,70.40226392,80.05893291,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",34
26,109,1673,2,64.27415918,46.54567685,0,93.0913537,60.83312739,54.97641775,66.68983702,85.44367332,71.77131291,99.11603373,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",35
10,109,1673,2,63.42246306,44.03591267,0,88.07182535,60.8709918,55.0093174,66.73266619,85.36048469,71.80380666,98.91716272,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",36
37,109,1673,2,65.17466881,49.22068775,0,98.4413755,60.81545535,54.96274691,66.6681638,85.48786333,71.75855025,99.2171764,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",37
60,109,1673,2,64.57923785,47.45323979,0,94.90647958,60.80831522,54.95224568,66.66438476,85.47615854,71.73789673,99.21442035,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",38
45,109,1673,2,63.90085953,45.42480486,0,90.84960973,60.73477499,54.87392215,66.59562782,85.54299875,71.62522107,99.46077643,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",39
16,109,1673,2,64.84523491,48.11394099,0,96.22788199,60.71470008,54.87371117,66.55568899,85.70706367,71.67086118,99.74326617,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",40
19,109,1673,2,64.75253991,47.85827657,0,95.71655315,60.71899726,54.87685939,66.56113513,85.68034589,71.66687163,99.69382016,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",41
49,109,1673,2,64.78735794,47.90357805,0,95.8071561,60.66924551,54.83364611,66.50484491,85.78925026,71.62609607,99.95240445,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",42
14,109,1673,2,64.50830054,47.10949157,0,94.21898314,60.73591044,54.89603635,66.57578454,85.67949961,71.70159578,99.65740345,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",43
23,109,1673,2,64.45201547,47.16761325,0,94.3352265,61.09858821,55.2374659,66.95971053,85.08984494,72.11433444,98.06535544,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",44
15,109,1673,2,64.85227504,48.21083773,0,96.42167546,60.85299758,55.00653153,66.69946363,85.49298981,71.83660237,99.14937725,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",45
53,109,1673,2,64.20155842,46.23033764,0,92.46067527,60.82772348,54.98452271,66.67092425,85.54661413,71.81282649,99.28040177,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",46
57,109,1673,2,64.22358041,46.23194096,0,92.46388191,60.73049728,54.8934024,66.56759215,85.70830299,71.7034437,99.71316227,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",47
28,109,1673,2,63.99857606,45.71548005,0,91.43096009,60.96413748,55.1117512,66.81652376,85.31611066,71.96463321,98.66758812,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",48
21,109,1673,2,57.69584723,50,0,100,62.57564021,50.93780825,74.21347218,60.51190148,42.79717586,78.2266271,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",49
48,109,1673,2,52.16059329,38.704,49.408,28,56.37432418,46.45367192,66.29497645,61.40345568,47.3987894,75.40812196,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",50
55,109,1673,2,59.92927103,37.996,70.992,5,61.54271087,55.3201205,67.76530124,80.24910223,68.04348323,92.45472122,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",51
39,109,1673,2,71.71689526,92.704,85.408,100,61.37228261,43.88773462,78.8568306,61.07440316,43.2998809,78.84892542,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",52
34,109,1673,2,61.94940557,50,0,100,60.45296313,59.31386905,61.5920572,75.3952536,54.04419416,96.74631304,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",53
25,109,1673,2,61.47182064,49.29388658,0,98.58777316,60.42970615,58.68100835,62.17840395,74.69186917,53.48545867,95.89827968,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",54
38,109,1673,2,47.72726869,8.61387812,0,17.22775624,61.37009089,58.72251195,64.01766982,73.19783705,55.48400116,90.91167294,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",55
4,109,1673,2,40.8237313,6.908595489,0,13.81719098,59.92641939,49.02353503,70.82930376,55.63617903,59.13667559,52.13568246,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",56
22,109,1673,2,64.22193027,50.296,90.592,10,61.63135799,56.73916067,66.52355531,80.73843283,72.33261716,89.1442485,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",57
52,109,1673,2,76.81891033,94.384,88.768,100,69.96648352,67.03296703,72.9,66.10624749,32.21153846,100.0009565,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",58
35,109,1673,2,59.262511,50.864,91.728,10,63.20454842,49.43329356,76.97580327,63.71898458,55.60606658,71.83190259,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",59
