reference_material_id,reference_timeframe_id,reference_space_id,criticality_timeframe_id,vsr,i,ma,ne,s,sp,sa,er,irr,su,ir,gii,affiliation_id,method_id,publication_id,notes,contributor_id,date_created,date_updated,criticality_vsr_id
27,109,231,2,41.68962192,30.41089947,60.74998106,0.071817881,43.32463295,43.5,50.42799588,46.30127914,33.06925676,51.33333333,74,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",1
7,109,231,2,29.79585807,5.427935686,10.30831662,0.54755475,59.62630519,61.25,55.09954056,47.47064203,74.68503817,24.33333333,20,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",2
5,109,231,2,32.57674587,35.72368038,70.3611152,1.086245554,47.67322389,41.5,43.18052063,14.51237493,91.5,14.33333333,0,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",3
29,109,231,2,45.08393738,13.55855654,23.55392783,3.563185248,81.35992227,80.875,84.45070421,80.50821565,79.60576923,40.33333333,52,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",4
2,109,231,2,57.45353164,75.24005467,74.5843325,75.89577684,32.78720691,46.5,45.54357521,29.47775242,9.6275,64.33333333,100,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",5
43,109,231,2,35.8249463,0.124430281,0.019594705,0.229265857,43.01707529,51.75,51.33903891,25.07926224,43.9,64.33333333,100,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",6
51,109,231,2,37.14539191,37.78474938,74.51804617,1.051452599,32.31809302,60.75,50.40784955,7.13304103,10.98148148,41.33333333,54,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",7
54,109,231,2,49.51491372,33.96391533,66.76198371,1.165846949,54.74749249,64.625,62.24233684,35.04571004,57.07692308,59.83333333,91,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",8
12,109,231,2,55.5791871,55.66306358,100,11.32612717,63.74116437,64.875,58.97659705,60.00699984,71.10606061,47.33333333,66,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",9
30,109,231,2,73.13591286,63.67745017,99.46524971,27.88965063,91.39695509,89,92.03884602,95.5541713,88.99480305,64.33333333,100,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",10
17,109,231,2,51.74281349,72.45421517,94.38653404,50.5218963,61.94089196,51.75,43.01356783,100,53,20.83333333,13,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",11
11,109,231,2,50.92351096,32.10880406,57.82853911,6.389069012,65.82839547,61.625,77.56917842,86.52681088,37.59259259,54.83333333,81,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",12
33,109,231,2,47.2078372,56.34365542,93.60957846,19.07773238,54.44652286,72,58.35905186,28.24613051,59.18090909,30.83333333,33,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",13
13,109,231,2,60.1849617,98.91650339,100,97.83300677,51.55504838,66.25186846,47.35736308,15.59602843,77.01493355,30.08333333,31.5,28.66666667,NULL,NULL,35,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",14
