index,table,column,notes,contributor_id,date_created,date_updated,index_id
PRIMARY,affiliations,affiliation_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",1
affiliations_ibfk_1,affiliations,contributor_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",2
affiliations_ibfk_2,affiliations,affiliation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",3
PRIMARY,aggregate_subsystem_modules,aggregate_subsystem_module_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",4
aggregate_subsystem_modules_ibfk_2,aggregate_subsystem_modules,aggregate_subsystem_module,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",5
aggregate_subsystem_modules_ibfk_3,aggregate_subsystem_modules,aggregate_subsystem_module_acronym,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",6
aggregate_subsystem_modules_ibfk_1,aggregate_subsystem_modules,contributor_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",7
PRIMARY,citations,citation_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",8
citations_ibfk_1,citations,author,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",9
citations_ibfk_2,citations,title,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",10
citations_ibfk_3,citations,journal,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",11
citations_ibfk_4,citations,year,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",12
citations_ibfk_5,citations,volume,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",13
citations_ibfk_6,citations,number,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",14
citations_ibfk_7,citations,pages,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",15
citations_ibfk_8,citations,contributor_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",16
PRIMARY,contributors,contributor_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",17
contributors_ibfk_1,contributors,contributor,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",18
contributors_ibfk_2,contributors,full_name,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",19
contributors_ibfk_3,contributors,affiliation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",20
contributors_ibfk_4,contributors,email,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",21
PRIMARY,criticality,criticality_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",22
criticality_ibfk_1,criticality,reference_material_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",23
criticality_ibfk_2,criticality,reference_timeframe_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",24
criticality_ibfk_3,criticality,reference_space_id,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",25
