material_name,notes,contributor_id,date_created,date_updated,material_name_id
"lithosphere economic resources output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",1
"mining output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",2
"photography output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",3
"jewelry and silverware output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",4
"electronics output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",5
"brazing alloys and solder output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",6
"coins and medals output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",7
"other output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",8
"manufacturing output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",9
"recycled scrap output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",10
"municipal solid waste output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",11
"waste electronic and electrical equipment output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",12
"sewage and sewage sludge output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",13
"non-hazardous industrial waste output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",14
"hazardous industrial waste output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",15
"separation treatment output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",16
"incineration output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",17
"production of engineering materials output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",18
"fabrication and manufacturing output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",19
"use output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",20
"waste management output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",21
"earth orbit output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",22
"atmosphere output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",23
"fossil fuel resources output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",24
"agricultural biomass output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",25
"terrestrial biomass output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",26
"soil output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",27
"freshwater output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",28
"oceans output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",29
"ocean biomass output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",30
"seafloor regolith output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",31
"upper continental crust output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",32
"lower continental crust output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",33
"mantle output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",34
"universe non earth planetary bodies output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",35
"product output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",36
"tailings output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",37
"waste output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",38
"non-dissipative output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",39
"downcycle output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",40
"recycle output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",41
"batteries output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",42
"construction and demolition waste output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",43
"industrial waste output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",44
"hazardous waste output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",45
"end of life vehicles",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",46
"new scrap output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",47
"old scrap output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",48
"cathode Cu output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",49
"slag output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",50
"finished products output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",51
"Cu metal products output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",52
"Cu alloy products output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",53
"scrap output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",54
"not recycled output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",55
"continental regolith output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",56
"oceanic regolith output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",57
"consolidated crust output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",58
"production of engineering materials refined Zn output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",59
"refined Zn output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",60
"discards output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",61
"wiring output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",62
"plumbing output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",63
"other hardware output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",64
"hvac and air conditioning and refrigeration output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",65
"elevators escalators dumbwaiters output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",66
"architectural roofing gutters etc output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",67
"other built-in appliances output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",68
"chromated copper arsenate lumber output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",69
"electrical output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",70
"electronic output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",71
"industrial machinery and equipment output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",72
"auto vehicles output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",73
"air output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",74
"marine output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",75
"electrical power cable output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",76
"transformers output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",77
"railway overhead contact system wire",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",78
"power stations output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",79
"telecommunications output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",80
"water distribution output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",81
"gas distribution output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",82
"streetscape electrical wire output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",83
"building wire output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",84
"tube output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",85
"motor vehicle wire output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",86
"magnet wire output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",87
"telecommunications wire output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",88
"power cable output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",89
"sheet strip output",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",90
