process_name,notes,contributor_id,date_created,date_updated,process_name_id
use,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",1
"lithosphere economic resources",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",2
landfilled,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",3
tailings,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",4
"production of engineering materials",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",5
"aggregate fabrication and manufacturing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",6
"waste management",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",7
"earth orbit",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",8
moon,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",9
atmosphere,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",10
"fossil fuel resources",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",11
"agricultural biomass",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",12
"terrestrial biomass",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",13
soil,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",14
"continental regolith",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",15
freshwater,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",16
oceans,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",17
"ocean biomass",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",18
"continental margin regolith",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",19
"seafloor regolith",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",20
"upper continental crust",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",21
"middle continental crust",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",22
"lower continental crust",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",23
"oceanic crust",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",24
mantle,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",25
core,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",26
refining,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",27
"fabrication and manufacturing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",28
environment,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",29
landfill,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",30
batteries,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",31
"electricity generation and distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",32
plumbing,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",33
wiring,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",34
"passenger vehicles",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",35
"hvac and air conditioning and refrigeration",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",36
marine,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",37
telecommunications,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",38
household,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",39
"white goods",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",40
commercial,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",41
"industrial machinery and equipment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",42
"trucks and buses",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",43
"architectural roofing gutters etc",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",44
hvac,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",45
ships,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",46
institutional,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",47
industrial,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",48
cars,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",49
residential,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",50
"water distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",51
"gas distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",52
"scrap yards",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",53
bridges,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",54
trucks,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",55
rail,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",56
"household electronics and appliances",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",57
"boats and barges",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",58
slag,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",59
"lithosphere economic resource",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",60
"universe non earth planetary bodies",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",61
"oceanic regolith",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",62
"consolidated crust",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",63
"ethernet cable",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",64
"chromated copper arsenate decks",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",65
"other hardware",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",66
"other hvac",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",67
"garbage disposals",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",68
"garage door openers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",69
"elevators escalators dumbwaiters",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",70
"light trucks",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",71
"large and specialty trucks",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",72
motorcycles,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",73
buses,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",74
"other vehicles",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",75
trailers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",76
air,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",77
"refrigerators and freezers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",78
"clothes washing machines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",79
"clothes dryers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",80
dishwashers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",81
"stove ranges and ovens",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",82
"microwave ovens",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",83
"portable air conditioners",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",84
"blast chillers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",85
"ice machines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",86
"auto mechanic tools",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",87
computers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",88
televisions,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",89
telephones,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",90
"steroes and radios",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",91
"vacuum cleaners",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",92
"hair dryers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",93
"extension cords",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",94
"kitchen stationary mixers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",95
"electric blenders",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",96
"food processors",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",97
"electric lawnmowers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",98
"sewing machines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",99
"construction and mining machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",100
forklifts,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",101
"manufacturing machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",102
"farm machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",103
"pots and pans",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",104
"brass bullet shells",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",105
"brass musical instruments",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",106
coinage,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",107
