reference_material_id,reference_timeframe_id,reference_space_id,system_boundary_id,aggregate_subsystem_module_id,subsystem_id,process_label,process_type_id,process_name_id,stock_type_id,stock_quantity,stock_quantity_unit_id,stock_concentration,stock_concentration_unit_id,stock_uncertainty,stock_uncertainty_unit_id,stock_uncertainty_type,stock_reliability_id,residual_quantity,residual_quantity_unit_id,residual_concentration,residual_concentration_unit_id,affiliation_id,method_id,publication_id,notes,contributor_id,date_created,date_updated,process_id
38,101,177,2,6,3,38.ENV.5;1.T.11;11,3,2,5,26000,2,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",1
26,108,243,2,3,43,26.F&M.2;1.T.3;3,3,147,3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,6.1,4,1,20,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",2
26,108,243,2,4,2,26.USE.3.T.1;1,3,1,3,8.8,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",3
26,108,243,2,6,3,26.ENV.5;1.T.9;9,3,30,3,20.6,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",4
26,108,243,2,6,3,26.ENV.5;1.T.1;1,3,4,3,6.5,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",5
26,108,243,2,6,3,26.ENV.5;1.T.3;3,3,59,3,2.6,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",6
26,108,243,2,4,2,26.USE.3.T.1;1,3,1,2,86.2,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",7
10,108,243,2,3,43,10.F&M.2;1.T.3;3,3,147,3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,5.6,4,1,20,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",8
10,108,243,2,4,2,10.USE.3.T.1;1,3,1,3,9.9,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",9
10,108,243,2,6,3,10.ENV.5;1.T.9;9,3,30,3,26,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",10
10,108,243,2,6,3,10.ENV.5;1.T.1;1,3,4,3,8.4,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",11
10,108,243,2,6,3,10.ENV.5;1.T.3;3,3,59,3,3.3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",12
10,108,243,2,4,2,10.USE.3.T.1;1,3,1,2,143.6,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",13
37,108,243,2,3,43,37.F&M.2;1.T.3;3,3,147,3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,3.3,4,1,20,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",14
37,108,243,2,4,2,37.USE.3.T.1;1,3,1,3,4.7,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",15
37,108,243,2,6,3,37.ENV.5;1.T.9;9,3,30,3,2.9,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",16
37,108,243,2,6,3,37.ENV.5;1.T.1;1,3,4,3,1.2,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",17
37,108,243,2,6,3,37.ENV.5;1.T.3;3,3,59,3,0.5,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",18
37,108,243,2,4,2,37.USE.3.T.1;1,3,1,2,50.1,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",19
60,108,243,2,3,43,60.F&M.2;1.T.3;3,3,147,3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,9.8,4,1,20,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",20
60,108,243,2,4,2,60.USE.3.T.1;1,3,1,3,17.7,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",21
60,108,243,2,6,3,60.ENV.5;1.T.9;9,3,30,3,3.5,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",22
60,108,243,2,6,3,60.ENV.5;1.T.1;1,3,4,3,4.3,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",23
60,108,243,2,6,3,60.ENV.5;1.T.3;3,3,59,3,1.7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",24
60,108,243,2,4,2,60.USE.3.T.1;1,3,1,2,136.8,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",25
45,108,243,2,3,43,45.F&M.2;1.T.3;3,3,147,3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,-1.6,4,1,20,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",26
45,108,243,2,4,2,45.USE.3.T.1;1,3,1,3,0.2,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",27
45,108,243,2,6,3,45.ENV.5;1.T.9;9,3,30,3,0.4,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",28
45,108,243,2,6,3,45.ENV.5;1.T.1;1,3,4,3,0.6,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",29
45,108,243,2,6,3,45.ENV.5;1.T.3;3,3,59,3,0.2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",30
45,108,243,2,4,2,45.USE.3.T.1;1,3,1,2,3.3,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",31
16,108,243,2,3,43,16.F&M.2;1.T.3;3,3,147,3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,0.1,4,1,20,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",32
16,108,243,2,4,2,16.USE.3.T.1;1,3,1,3,0.1,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",33
16,108,243,2,6,3,16.ENV.5;1.T.9;9,3,30,3,0.4,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",34
16,108,243,2,6,3,16.ENV.5;1.T.1;1,3,4,3,0.1,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",35
16,108,243,2,6,3,16.ENV.5;1.T.3;3,3,59,3,0.1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",36
16,108,243,2,4,2,16.USE.3.T.1;1,3,1,2,0.4,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",37
19,108,243,2,3,43,19.F&M.2;1.T.3;3,3,147,3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,-1,4,1,20,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",38
19,108,243,2,4,2,19.USE.3.T.1;1,3,1,3,0.5,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",39
19,108,243,2,6,3,19.ENV.5;1.T.9;9,3,30,3,0.6,4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,1,"2019-02-04 14:48:33","2019-02-04 14:48:33",40
