process_id,citation_id,notes,contributor_id,date_created,date_updated
200000892,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000893,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000894,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000895,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000896,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000897,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000898,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000899,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000900,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000901,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000902,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000903,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000904,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000905,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000906,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000907,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000908,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000909,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000910,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000911,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000912,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000913,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000914,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000915,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000916,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000917,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000918,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000919,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000920,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000921,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000922,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000923,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000924,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000925,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000926,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000927,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000928,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000929,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000930,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000931,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000932,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000933,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000934,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000935,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000936,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000937,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000938,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000939,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000940,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000941,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200000942,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001585,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001586,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001587,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001588,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001589,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001590,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001591,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001592,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001593,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001594,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001595,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001596,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001597,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001598,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001599,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001600,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001601,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001602,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001603,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001604,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001605,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001606,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001607,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001608,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001609,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001610,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001611,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001612,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001613,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001614,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001615,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
200001616,30,NULL,1,"2019-02-04 14:48:51","2019-02-04 14:48:51"
