reference_timeframe,notes,contributor_id,date_created,date_updated,reference_timeframe_id
1900,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",1
1901,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",2
1902,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",3
1903,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",4
1904,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",5
1905,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",6
1906,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",7
1907,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",8
1908,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",9
1909,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",10
1910,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",11
1911,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",12
1912,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",13
1913,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",14
1914,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",15
1915,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",16
1916,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",17
1917,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",18
1918,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",19
1919,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",20
1920,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",21
1921,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",22
1922,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",23
1923,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",24
1924,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",25
1925,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",26
1926,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",27
1927,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",28
1928,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",29
1929,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",30
1930,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",31
1931,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",32
1932,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",33
1933,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",34
1934,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",35
1935,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",36
1936,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",37
1937,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",38
1938,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",39
1939,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",40
1940,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",41
1941,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",42
1942,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",43
1943,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",44
1944,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",45
1945,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",46
1946,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",47
1947,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",48
1948,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",49
1949,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",50
1950,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",51
1951,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",52
1952,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",53
1953,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",54
1954,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",55
1955,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",56
1956,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",57
1957,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",58
1958,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",59
1959,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",60
1960,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",61
1961,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",62
