subsystem,notes,contributor_id,date_created,date_updated,subsystem_id
use,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",1
"aggregate use",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",2
environment,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",3
"aggregate production of engineering materials",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",4
"aggregate fabrication and manufacturing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",5
"aggregate waste management",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",6
production,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",7
"aggregate environment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",8
landfill,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",9
infrastructure,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",10
"building and construction",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",11
"auto vehicles",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",12
transportation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",13
"electrical and electronic products",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",14
"consumer durables",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",15
"equipment and fittings",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",16
buildings,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",17
automobiles,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",18
other,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",19
"roads and bridges",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",20
equipment,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",21
marine,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",22
residential,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",23
commercial,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",24
"trucks and buses",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",25
"white goods",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",26
electrical,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",27
electronic,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",28
"industrial machinery and equipment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",29
machinery,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",30
telecommunication,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",31
"electricity generation and distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",32
"water distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",33
"electricity transmission and distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",34
"consumer and commercial durables",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",35
"primary production",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",36
"ingot casting",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",37
"fabrication and manufacturing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",38
fabrication,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",39
"foundry casting",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",40
rolling,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",41
"extrusion drawing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",42
manufacturing,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",43
collection,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",44
"separation treatment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",45
melting,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",46
"waste management",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",47
transport,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",48
automotives,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",49
aerospace,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",50
rail,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",51
construction,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",52
nonresidential,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",53
signs,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",54
transformation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",55
"household durables",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",56
"electrical non white goods",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",57
"commercial durables",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",58
"industrial machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",59
"manufacturing machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",60
"agricultural machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",61
"containers packaging",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",62
"smelting refining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",63
batteries,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",64
"production of engineering materials",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",65
slag,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",66
trucks,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",67
air,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",68
structures,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",69
hvac,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",70
commercial,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",71
industrial,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",72
"household electronics and appliances",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",73
"electrical and electronic",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",74
"commercial electronics and appliances",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",75
"electrical and electronic",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",76
"industrial machinery and appliances",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",77
"transportation and warehousing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",78
"manufacturing equipment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",79
"gas distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",80
"oil storage and distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",81
"storm sewers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",82
streetscape,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",83
telecommunications,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",84
"buildings and infrastructure",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",85
"kitchen sinks",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",86
auto,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",87
resident,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",88
"household appliances and electronics",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",89
"specialized commercial equipment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",90
"metal goods and other",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",91
"domestic equipment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",92
"commercial equipment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",93
"sludge slimes",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",94
dissipation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",95
"mining beneficiation",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",96
refining,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",97
product,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",98
beneficiation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",99
"smelting and solvent extraction",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",100
"semis and finished products",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",101
"bauxite mining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",102
