trade_code,trade_code_type,trade_code_version,commodity,description,publication_id,notes,contributor_id,date_created,date_updated,trade_code_id
281700,hs,NULL,NULL,"Zinc oxide; zinc peroxide",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",1
282736,hs,NULL,NULL,"Zinc chlorides",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",2
283020,hs,NULL,NULL,"Zinc sulphide",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",3
283326,hs,NULL,NULL,"Sulphates of zinc",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",4
284120,hs,NULL,NULL,"Chromates of zinc or of lead",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",5
320642,hs,NULL,NULL,"Pigments etc. based on zinc sulphide; lithophone",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",6
721030,hs,NULL,NULL,"Flat-rolled products of iron-non-alloy steel; of a width of 600mm-more; electrolytically plated-coated with zinc",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",7
721031,hs,NULL,NULL,"Flat rolled iron or non-alloy steel;electro plate-zinc;<3mm-275;>3-355",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",8
721039,hs,NULL,NULL,"Flat rolled iron or non-alloy steel; electro plate -zinc;w >600mm; nes",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",9
721041,hs,NULL,NULL,"Flat rolled i-nas; coat-zinc; corrugated; w >600m; nes",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",10
721049,hs,NULL,NULL,"Flat-rolled products of iron-non-alloy steel; of a width of 600mm-more; othw. plated-coated with zinc (excl. electrolytically); other than corrugated",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",11
721220,hs,NULL,NULL,"Flat-rolled products of iron-non-alloy steel; of a width of <600mm; electrolytically plated-coated with zinc",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",12
721221,hs,NULL,NULL,"Flat rolled steel; <600mm; zinc plate;<3mm-275-3mm-35",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",13
721229,hs,NULL,NULL,"Flat rolled steel; <600mm; electro-plated zinc; nes",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",14
721230,hs,NULL,NULL,"Flat-rolled products of iron-non-alloy steel; of a width of <600mm; othw. plated-coated with zinc (excl. electrolytically)",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",15
721712,hs,NULL,NULL,"Wire; iron or non-alloy steel; plated or coated with zinc <0.25%C",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",16
721720,hs,NULL,NULL,"Wire of iron-non-alloy steel; plated-coated with zinc",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",17
721722,hs,NULL,NULL,"Wire; iron or non-alloy steel; zinc plated-coated; 0.25-0.6%C",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",18
721732,hs,NULL,NULL,"Wire; iron or non-alloy steel; zinc plated-coated; >0.6%C",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",19
722591,hs,NULL,NULL,"Other n.e.s. in 72.25; flat-rolled products of other alloy steel; of a width of 600 mm-more; of electrolytically plated-coated with zinc.",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",20
722592,hs,NULL,NULL,"Other n.e.s. in 72.25; flat-rolled products of other alloy steel; of a width of 600 mm-more; of othw. plated-coated with zinc.",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",21
722693,hs,NULL,NULL,"Flat-rolled prods. of oth. alloy steel (excl. stainless-silicon-electrical-etc)",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",22
722694,hs,NULL,NULL,"Flat-rolled prods. of oth. alloy steel (excl. stainless-silicon-electrical-etc)",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",23
740321,hs,NULL,NULL,"Copper-zinc base alloys (brass); unwrought",6,NULL,1,"2019-02-04 14:46:59","2019-02-04 14:46:59",24
