substance,subsystem acronym,subsystem name,subsystem,process name,process
1,PEM,aggregate production of engineering materials,1,production of engineering materials,1
1,PEM,production of engineering materials,1;1,production,1
1,PEM,production of engineering materials,1;1,engineering materials,2
1,PEM,production,1;1;1,mining and beneficiation,1
1,PEM,production,1;1;1,refining,2
1,PEM,mining and beneficiation,1;1;1;1,mining,1
1,PEM,mining and beneficiation,1;1;1;2,beneficiation,2
1,PEM,production,1;1;1,mining and beneficiation,1'
1,PEM,production,1;1;1,refining,2'
1,PEM,mining and beneficiation,1;1;1;1',ore and concentrate,1
1,PEM,refining,1;1;1;2',product,1
1,PEM,refining,1;1;1;2',waste,2
1,PEM,waste,1;1;1;2';2,dissipated,1
1,PEM,production,1;1;1,mining and beneficiation,1''
1,PEM,production,1;1;1,refining,2''
1,PEM,mining and beneficiation,1;1;1;1'',product,1
1,PEM,mining and beneficiation,1;1;1;1'',waste,2
1,PEM,refining,1;1;1;2'',iron refining,1
1,PEM,iron refining,1;1;1;2'';1',dissipated,1
1,PEM,aggregate production of engineering materials,1,production of engineering materials,1'
1,PEM,production of engineering materials,1;1',concentrate,1
1,PEM,production of engineering materials,1;1',refined metal,2
1,PEM,production of engineering materials,1;1',tailings,3
1,PEM,production of engineering materials,1;1',slag and leachate,4
1,PEM,slag and leachate,1;1';4,slag,1
1,PEM,slag and leachate,1;1';4,leachate,2
1,PEM,mining and beneficiation,1;1;1;1,mining,1'
1,PEM,mining and beneficiation,1;1;1;2,beneficiation,2'
1,PEM,mining,1;1;1;1;1',dissipated,1
1,F&M,aggregate fabrication manufacturing,2,fabrication and manufacturing,1
1,F&M,fabrication and manufacturing,2;1,fabrication,1
1,F&M,fabrication and manufacturing,2;1,manufacturing,2
1,F&M,manufacturing,2;1;2,photography,1
1,F&M,manufacturing,2;1;2,jewelry and silverware,2
1,F&M,manufacturing,2;1;2,electronics,3
1,F&M,manufacturing,2;1;2,brazing alloys and solder,4
1,F&M,manufacturing,2;1;2,coins and medals,5
1,F&M,manufacturing,2;1;2,other,6
1,F&M,aggregate fabrication manufacturing,2,fabrication and manufacturing,1'
1,F&M,fabrication and manufacturing,2;1',semis and finished products,1
1,F&M,fabrication and manufacturing,2;1',discards,2
1,F&M,fabrication and manufacturing,2;1',new scrap,3
1,F&M,products,2;1';1,semis,1
1,F&M,products,2;1';1,finished products,2
1,F&M,fabrication and manufacturing,2;1,fabrication,1'
1,F&M,fabrication,2;1;1',product,1
1,F&M,fabrication,2;1;1',scrap,2
1,F&M,fabrication,2;1;1',waste,3
1,F&M,fabrication and manufacturing,2;1,manufacturing,2'
1,F&M,manufacturing,2;1;2',product,1
1,F&M,manufacturing,2;1;2',scrap,2
1,F&M,manufacturing,2;1;2',waste,3
1,USE,aggregate use,3,use,1
1,USE,use,3;1,cement,1
1,USE,use,3;1,coal,2
1,USE,use,3;1,photography,3
1,USE,aggregate use,3,use,1'
1,USE,use,3;1',non-dissipative,1
1,USE,use,3;1',dissipative,2
1,USE,use,3;1',hibernating,3
1,USE,end of life,3;1';1,municipal solid waste,1
1,USE,end of life,3;1';1,waste electronic and electrical equipment,2
1,USE,end of life,3;1';1,end of life vehicles,3
1,USE,end of life,3;1';1,non-hazardous industrial waste and hazardous industrial waste,4
1,USE,end of life,3;1';1,sewage and sewage sludge,5
1,USE,end of life,3;1';1,construction and demolition waste,6
1,USE,non-hazardous industrial waste and hazadous industrial waste,3;1';1;4,non-hazardous industrial waste,1
1,USE,non-hazardous industrial waste and hazadous industrial waste,3;1';1;4,hazardous industrial waste,2
1,USE,sewage and sewage sludge,3;1';1;5,sewage,1
1,USE,sewage and sewage sludge,3;1';1;5,sewage sludge,2
1,USE,hazardous industrial waste,3;1';1;4;2,AgO batteries,1
1,USE,hazardous industrial waste,3;1';1;4;2,amalgam,2
1,USE,aggregate use,3,use,1''
1,USE,use,3;1'',industrial,1
1,USE,use,3;1'',jewelry,2
1,USE,use,3;1'',photography,3
1,USE,use,3;1,cement,1'
1,USE,use,3;1,coal,2'
1,USE,use,3;1,photography,3'
1,USE,photography,3;1;3',non-dissipative,1
1,USE,photography,3;1;3',hibernating,2
1,USE,photography,3;1;3',dissipative,2
1,WMR,aggregate waste management,4,waste management,1
1,WMR,waste management,4;1,separation treatment,1
1,WMR,waste management,4;1,incineration,2
1,WMR,waste management,4;1,collection and sorting,3
1,WMR,separation treatment,4;1;1,sewage and sewage sludge,1
1,WMR,incineration,4;1;2,non-hazardous industrial waste and hazardous industrial waste,1
1,WMR,incineration,4;1;2,municipal solid waste,2
1,WMR,incineration,4;1;2,sewage and sewage sludge,3
1,WMR,collection and sorting,4;1;3,non-hazardous industrial waste and hazardous industrial waste,1
1,WMR,collection and sorting,4;1;3,municipal solid waste,2
1,WMR,collection and sorting,4;1;3,waste electronic and electrical equipment,3
1,WMR,collection and sorting,4;1;3,sewage and sewage sludge,4
1,WMR,sewage and sewage sludge,4;1;1;1,sewage,1
1,WMR,sewage and sewage sludge,4;1;1;1,sewage sludge,2
1,WMR,sewage and sewage sludge,4;1;2;3,sewage,1
1,WMR,sewage and sewage sludge,4;1;2;3,sewage sludge,2
1,WMR,non-hazardous industrial waste and hazardous industrial waste,4;1;3;1,hazardous industrial waste,1
1,WMR,non-hazardous industrial waste and hazardous industrial waste,4;1;3;1,non-hazardous industrial waste,2
1,WMR,aggregate waste management,4,waste management,1'
1,WMR,waste management,4;1',recycled scrap,1
1,WMR,waste management,4;1',not recycled,2
1,WMR,recycled scrap,4;1';1,recycled old scrap,1
1,WMR,recycled scrap,4;1';1,recycled new scrap,2
1,ENV,aggregate environment,5,environment,1
1,ENV,environment,5;1,tailings,1
1,ENV,environment,5;1,slag and leachate,2
1,ENV,environment,5;1,sludge,3
1,ENV,environment,5;1,slimes,4
1,ENV,environment,5;1,landfill,5
1,ENV,environment,5;1,lithosphere economic resources,6
1,ENV,environment,5;1,ashes particulates,7
1,ENV,environment,5;1,hazardous waste,8
1,ENV,environment,5;1,dissipation,9
1,ENV,environment,5;1,earth orbit,10
1,ENV,environment,5;1,moon,11
1,ENV,environment,5;1,atmosphere,12
1,ENV,environment,5;1,fossil fuel resources,13
1,ENV,environment,5;1,agricultural biomass,14
1,ENV,environment,5;1,terrestrial biomass,15
1,ENV,environment,5;1,soil,16
1,ENV,environment,5;1,continental regolith,17
1,ENV,environment,5;1,freshwater,18
1,ENV,environment,5;1,oceans,19
1,ENV,environment,5;1,ocean biomass,20
1,ENV,environment,5;1,mantle,21
1,ENV,environment,5;1,core,22
1,ENV,environment,5;1,oceanic regolith,23
1,ENV,environment,5;1,consolidated crust,24
1,ENV,environment,5;1,universe non earth planetary bodies,25
1,ENV,slag and leachate,5;1;2,slag,1
1,ENV,slag and leachate,5;1;2,leachate,2
1,ENV,landfill,5;1;5,non-hazardous industrial waste and hazardous industrial waste,1
1,ENV,dissipation,5;1;9,land,1
1,ENV,dissipation,5;1;9,water bodies,2
1,ENV,dissipation,5;1;9,air,3
1,ENV,oceanic regolith,5;1;23,continental margin regolith,1
1,ENV,oceanic regolith,5;1;23,seafloor regolith,2
1,ENV,consolidated crust,5;1;24,upper continental crust,1
1,ENV,consolidated crust,5;1;24,middle continental crust,2
1,ENV,consolidated crust,5;1;24,lower continental crust,3
1,ENV,consolidated crust,5;1;24,oceanic crust,4
