substance,subsystem acronym,subsystem name,subsystem,process name,process
2,PEM,aggregate production of engineering materials,1,production of engineering materials,1
2,PEM,production of engineering materials,1;1,production,1
2,PEM,production of engineering materials,1;1,engineering materials,2
2,PEM,production,1;1;1,primary production,1
2,PEM,production,1;1;1,secondary production,2
2,PEM,engineering materials,1;1;2,ingot casting,1
2,PEM,primary production,1;1;1;1,bauxite mining,1
2,PEM,primary production,1;1;1;1,alumina refining,2
2,PEM,primary production,1;1;1;1,primary aluminum smelting,3
2,PEM,aggregate production of engineering materials,1,production of engineering materials,1'
2,PEM,production of engineering materials,1;1',aluminum product,1
2,PEM,production of engineering materials,1;1',non-metal product,2
2,PEM,production of engineering materials,1;1',waste,3
2,PEM,engineering materials,1;1;2,ingot casting,1'
2,PEM,ingot casting,1;1;2;1',ingot casting metal product,1
2,PEM,ingot casting,1;1;2;1',ingot casting waste,2
2,PEM,primary production,1;1;1;1,bauxite mining,1'
2,PEM,primary production,1;1;1;1,alumina refining,2'
2,PEM,primary production,1;1;1;1,primary aluminum smelting,3'
2,PEM,bauxite mining,1;1;1;1;1',bauxite mining metal product,1
2,PEM,bauxite mining,1;1;1;1;1',bauxite mining waste,2
2,PEM,alumina refining,1;1;1;1;2',alumina refining metal product,1
2,PEM,alumina refining,1;1;1;1;2',alumina refining waste,2
2,PEM,primary aluminum smelting,1;1;1;1;3',primary aluminum smelting metal product,1
2,PEM,primary aluminum smelting,1;1;1;1;3',primary aluminum smelting waste,2
2,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
2,F&M,fabrication and manufacturing,2;1,fabrication,1
2,F&M,fabrication and manufacturing,2;1,manufacturing,2
2,F&M,fabrication,2;1;1,rolling,1
2,F&M,fabrication,2;1;1,extrusion drawing,2
2,F&M,fabrication,2;1;1,foundry casting,3
2,F&M,fabrication,2;1;1,other,4
2,F&M,manufacturing,2;1;2,transport,1
2,F&M,manufacturing,2;1;2,construction,2
2,F&M,manufacturing,2;1;2,industrial machinery,3
2,F&M,manufacturing,2;1;2,consumer durables,4
2,F&M,manufacturing,2;1;2,electrical,5
2,F&M,manufacturing,2;1;2,containers packaging,6
2,F&M,manufacturing,2;1;2,other,7
2,F&M,rolling,2;1;1;1,sheet plate,1
2,F&M,rolling,2;1;1;1,foil,2
2,F&M,extrusion drawing,2;1;1;2,extruded,1
2,F&M,extrusion drawing,2;1;1;2,electrical conductor,2
2,F&M,extrusion drawing,2;1;1;2,wire,3
2,F&M,foundry casting,2;1;1;3,sand castings,1
2,F&M,foundry casting,2;1;1;3,mold castings,2
2,F&M,foundry casting,2;1;1;3,die castings,3
2,F&M,foundry casting,2;1;1;3,other castings,4
2,F&M,other,2;1;1;4,forgings impacts,1
2,F&M,other,2;1;1;4,powder paste,2
2,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1'
2,F&M,fabrication and manufacturing,2;1',product,1
2,F&M,fabrication and manufacturing,2;1',scrap,2
2,F&M,fabrication and manufacturing,2;1',waste,3
2,F&M,fabrication and manufacturing,2;1,fabrication,1'
2,F&M,fabrication and manufacturing,2;1,manufacturing,2'
2,F&M,fabrication,2;1;1',fabrication product,1
2,F&M,fabrication,2;1;1',fabrication scrap,2
2,F&M,fabrication,2;1;1',fabrication waste,3
2,F&M,manufacturing,2;1;2',manufacturing product,1
2,F&M,manufacturing,2;1;2',manufacturing scrap,2
2,F&M,manufacturing,2;1;2',manufacturing waste,3
2,F&M,fabrication,2;1;1,rolling,1'
2,F&M,fabrication,2;1;1,extrusion drawing,2'
2,F&M,fabrication,2;1;1,foundry casting,3'
2,F&M,fabrication,2;1;1,other,4'
2,F&M,rolling,2;1;1;1',rolling product,1
2,F&M,rolling,2;1;1;1',rolling scrap,2
2,F&M,rolling,2;1;1;1',rolling waste,3
2,F&M,extrusion drawing,2;1;1;2',extrusion drawing product,1
2,F&M,extrusion drawing,2;1;1;2',extrusion drawing scrap,2
2,F&M,extrusion drawing,2;1;1;2',extrusion drawing waste,3
2,F&M,foundry casting,2;1;1;3',foundry casting product,1
2,F&M,foundry casting,2;1;1;3',foundry casting scrap,2
2,F&M,foundry casting,2;1;1;3',foundry casting waste,3
2,F&M,other,2;1;1;4',other product,1
2,F&M,other,2;1;1;4',other scrap,2
