substance,subsystem acronym,subsystem name,subsystem,process name,process
4,PEM,aggregate production of engineering materials,1,production of engineering materials,1
4,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
4,USE,aggregate use,3,use,1
4,USE,use,3;1,jewelry,1
4,USE,use,3;1,electronics,2
4,USE,use,3;1,dental,3
4,WMR,aggregate waste management,4,waste management,1
4,ENV,aggregate environment,5,environment,1
4,ENV,environment,5;1,tailings,1
4,ENV,environment,5;1,slag,2
4,ENV,environment,5;1,sludge slimes,3
4,ENV,environment,5;1,leachate,4
4,ENV,environment,5;1,landfill,5
4,ENV,environment,5;1,lithosphere economic resources,6
4,ENV,environment,5;1,ashes particulates,7
4,ENV,environment,5;1,hazardous waste,8
4,ENV,environment,5;1,dissipation,9
4,ENV,environment,5;1,earth orbit,10
4,ENV,environment,5;1,moon,11
4,ENV,environment,5;1,atmosphere,12
4,ENV,environment,5;1,fossil fuel resources,13
4,ENV,environment,5;1,agricultural biomass,14
4,ENV,environment,5;1,terrestrial biomass,15
4,ENV,environment,5;1,soil,16
4,ENV,environment,5;1,continental regolith,17
4,ENV,environment,5;1,freshwater,18
4,ENV,environment,5;1,oceans,19
4,ENV,environment,5;1,ocean biomass,20
4,ENV,environment,5;1,mantle,21
4,ENV,environment,5;1,core,22
4,ENV,environment,5;1,oceanic regolith,23
4,ENV,environment,5;1,consolidated crust,24
4,ENV,environment,5;1,universe non earth planetary bodies,25
4,ENV,dissipation,5;1;9,land,1
4,ENV,dissipation,5;1;9,water bodies,2
4,ENV,dissipation,5;1;9,air,3
4,ENV,oceanic regolith,5;1;23,continental margin regolith,1
4,ENV,oceanic regolith,5;1;23,seafloor regolith,2
4,ENV,consolidated crust,5;1;24,upper continental crust,1
4,ENV,consolidated crust,5;1;24,middle continental crust,2
4,ENV,consolidated crust,5;1;24,lower continental crust,3
4,ENV,consolidated crust,5;1;24,oceanic crust,4
