substance,subsystem acronym,subsystem name,subsystem,process name,process
7,PEM,aggregate production of engineering materials,1,production of engineering materials,1
7,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
7,USE,aggregate use,3,use,1
7,USE,use,3;1,electronics,1
7,USE,use,3;1,aerospace,2
7,USE,use,3;1,appliances,3
7,WMR,aggregate waste management,4,waste management,1
7,ENV,aggregate environment,5,environment,1
7,ENV,environment,5;1,tailings,1
7,ENV,environment,5;1,slag,2
7,ENV,environment,5;1,sludge slimes,3
7,ENV,environment,5;1,leachate,4
7,ENV,environment,5;1,landfill,5
7,ENV,environment,5;1,lithosphere economic resources,6
7,ENV,environment,5;1,ashes particulates,7
7,ENV,environment,5;1,hazardous waste,8
7,ENV,environment,5;1,dissipation,9
7,ENV,environment,5;1,earth orbit,10
7,ENV,environment,5;1,moon,11
7,ENV,environment,5;1,atmosphere,12
7,ENV,environment,5;1,fossil fuel resources,13
7,ENV,environment,5;1,agricultural biomass,14
7,ENV,environment,5;1,terrestrial biomass,15
7,ENV,environment,5;1,soil,16
7,ENV,environment,5;1,continental regolith,17
7,ENV,environment,5;1,freshwater,18
7,ENV,environment,5;1,oceans,19
7,ENV,environment,5;1,ocean biomass,20
7,ENV,environment,5;1,mantle,21
7,ENV,environment,5;1,core,22
7,ENV,environment,5;1,oceanic regolith,23
7,ENV,environment,5;1,consolidated crust,24
7,ENV,environment,5;1,universe non earth planetary bodies,25
7,ENV,dissipation,5;1;9,land,1
7,ENV,dissipation,5;1;9,water bodies,2
7,ENV,dissipation,5;1;9,air,3
7,ENV,oceanic regolith,5;1;23,continental margin regolith,1
7,ENV,oceanic regolith,5;1;23,seafloor regolith,2
7,ENV,consolidated crust,5;1;24,upper continental crust,1
7,ENV,consolidated crust,5;1;24,middle continental crust,2
7,ENV,consolidated crust,5;1;24,lower continental crust,3
7,ENV,consolidated crust,5;1;24,oceanic crust,4
