substance,subsystem acronym,subsystem name,subsystem,process name,process
9,PEM,aggregate production of engineering materials,1,production of engineering materials,1
9,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
9,USE,aggregate use,3,use,1
9,USE,use,3;1,batteries,1
9,USE,use,3;1,pigments,2
9,USE,use,3;1,platings,3
9,WMR,aggregate waste management,4,waste management,1
9,ENV,aggregate environment,5,environment,1
9,ENV,environment,5;1,tailings,1
9,ENV,environment,5;1,slag,2
9,ENV,environment,5;1,sludge slimes,3
9,ENV,environment,5;1,leachate,4
9,ENV,environment,5;1,landfill,5
9,ENV,environment,5;1,lithosphere economic resources,6
9,ENV,environment,5;1,ashes particulates,7
9,ENV,environment,5;1,hazardous waste,8
9,ENV,environment,5;1,dissipation,9
9,ENV,environment,5;1,earth orbit,10
9,ENV,environment,5;1,moon,11
9,ENV,environment,5;1,atmosphere,12
9,ENV,environment,5;1,fossil fuel resources,13
9,ENV,environment,5;1,agricultural biomass,14
9,ENV,environment,5;1,terrestrial biomass,15
9,ENV,environment,5;1,soil,16
9,ENV,environment,5;1,continental regolith,17
9,ENV,environment,5;1,freshwater,18
9,ENV,environment,5;1,oceans,19
9,ENV,environment,5;1,ocean biomass,20
9,ENV,environment,5;1,mantle,21
9,ENV,environment,5;1,core,22
9,ENV,environment,5;1,oceanic regolith,23
9,ENV,environment,5;1,consolidated crust,24
9,ENV,environment,5;1,universe non earth planetary bodies,25
9,ENV,dissipation,5;1;9,land,1
9,ENV,dissipation,5;1;9,water bodies,2
9,ENV,dissipation,5;1;9,air,3
9,ENV,oceanic regolith,5;1;23,continental margin regolith,1
9,ENV,oceanic regolith,5;1;23,seafloor regolith,2
9,ENV,consolidated crust,5;1;24,upper continental crust,1
9,ENV,consolidated crust,5;1;24,middle continental crust,2
9,ENV,consolidated crust,5;1;24,lower continental crust,3
9,ENV,consolidated crust,5;1;24,oceanic crust,4
