substance,subsystem acronym,subsystem name,subsystem,process name,process
12,PEM,aggregate production engineering materials,1,production of engineering materials,1
12,PEM,production engineering materials,1;1,production,1
12,PEM,production engineering materials,1;1,engineering materials,2
12,PEM,production,1;1;1,mining beneficiation,1
12,PEM,engineering materials,1;1;2,high grade ore,1
12,PEM,engineering materials,1;1;2,refined metal,2
12,PEM,engineering materials,1;1;2,slag,3
12,PEM,engineering materials,1;1;2,stainless steel dissipation air,4
12,PEM,mining beneficiation,1;1;1;1,concentrate,1
12,PEM,mining beneficiation,1;1;1;1,tailings,2
12,PEM,high grade ore,1;1;2;1,chemical grade ore,1
12,PEM,high grade ore,1;1;2;1,refractory grade ore,2
12,PEM,refined metal,1;1;2;2,Cr metal,1
12,PEM,refined metal,1;1;2;2,FeCr alloys,2
12,PEM,refined metal,1;1;2;2,steel alloys,3
12,PEM,slag,1;1;2;3,FeCr slag,1
12,PEM,slag,1;1;2;3,stainless steel slag,2
12,PEM,Cr metal,1;1;2;2;1,aluminothermic Cr,1
12,PEM,Cr metal,1;1;2;2;1,electrolytic Cr,2
12,PEM,FeCr alloys,1;1;2;2;2,high carbon charge grade FeCr,1
12,PEM,FeCr alloys,1;1;2;2;2,FeSiCr,2
12,PEM,FeCr alloys,1;1;2;2;2,other FeCr,3
12,PEM,steel alloys,1;1;2;2;3,stainless steel,1
12,PEM,steel alloys,1;1;2;2;3,alloy steel,2
12,PEM,steel alloys,1;1;2;2;3,nickel steel,3
12,PEM,aggregate production engineering materials,1,production of engineering materials,1'
12,PEM,production of engineering materials,1;1',ore and concentrate,1
12,F&M,aggregate fabrication manufacturing,2,fabrication and manufacturing,1
12,F&M,fabrication manufacturing,2;1,fabrication,1
12,F&M,fabrication manufacturing,2;1,manufacturing,2
12,USE,manufacturing,2;1;2,buildings infrastructure,1
12,USE,manufacturing,2;1;2,transport,2
12,USE,manufacturing,2;1;2,industrial machinery,3
12,USE,manufacturing,2;1;2,household appliances electronics,4
12,USE,manufacturing,2;1;2,metal goods and other,5
12,F&M,aggregate fabrication manufacturing,2,fabrication and manufacturing,1'
12,F&M,fabrication and manufacturing,2;1',semis and finished products,1
12,F&M,fabrication and manufacturing,2;1',scrap,2
12,F&M,fabrication and manufacturing,2;1',waste,3
12,F&M,semis and finished products,2;1';1,semis,1
12,F&M,semis and finished products,2;1';1,finished products,2
12,F&M,scrap,2;1';2,prompt scrap,1
12,F&M,scrap,2;1';2,downgraded scrap,2
