substance,subsystem acronym,subsystem name,subsystem,process name,process
17,PEM,aggregate production of engineering materials,1,production of engineering materials,1
17,PEM,production of engineering materials,1;1,production,1
17,PEM,production of engineering materials,1;1,engineering materials,2
17,PEM,production,1;1;1,mining and beneficiation,1
17,PEM,production,1;1;1,blast furnace,2
17,PEM,engineering materials,1;1;2,steel mills,1
17,PEM,engineering materials,1;1;2,foundry,2
17,PEM,mining and beneficiation,1;1;1;1,iron ore,1
17,PEM,mining and beneficiation,1;1;1;1,tailings,2
17,PEM,blast furnace,1;1;1;2,pig iron,1
17,PEM,blast furnace,1;1;1;2,slag,2
17,PEM,steel mills,1;1;2;1,raw steel,1
17,PEM,steel mills,1;1;2;1,slag,2
17,PEM,engineering materials,1;1;2,steel mills,1'
17,PEM,engineering materials,1;1;2,foundry,2'
17,PEM,steel mills,1;1;2;1',open hearth,1
17,PEM,steel mills,1;1;2;1',bessemer,2
17,PEM,steel mills,1;1;2;1',crucible,3
17,PEM,steel mills,1;1;2;1',basic oxygen furnace,4
17,PEM,steel mills,1;1;2;1',electric arc furnace,5
17,PEM,foundry,1;1;2;2,castings,1
17,PEM,foundry,1;1;2;2,home scrap,2
17,PEM,aggregate production of engineering materials,1,production of engineering materials,1'
17,PEM,production of engineering materials,1;1',ore and concentrate,1
17,PEM,production of engineering materials,1;1',refined iron and iron alloys,2
17,PEM,production of engineering materials,1;1',tailings,3
17,PEM,production of engineering materials,1;1',slag,4
17,PEM,production of engineering materials,1;1',home scrap,5
17,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
17,F&M,fabrication and manufacturing,2;1,fabrication,1
17,F&M,fabrication and manufacturing,2;1,manufacturing,2
17,F&M,fabrication,2;1;1,rolling mills,1
17,F&M,manufacturing,2;1;2,product,1
17,F&M,manufacturing,2;1;2,scrap and waste,2
17,F&M,rolling mills,2;1;1;1,finished steel,1
17,F&M,rolling mills,2;1;1;1,home scrap,2
17,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1'
17,F&M,fabrication and manufacturing,2;1',semis and finished products,1
17,F&M,fabrication and manufacturing,2;1',scrap,2
17,F&M,semis and finished products,2;1';1,semis,1
17,F&M,semis and finished products,2;1';1,finished products,2
17,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1''
17,F&M,fabrication and manufacturing,2;1'',construction,1
17,F&M,fabrication and manufacturing,2;1'',transportation,2
17,F&M,fabrication and manufacturing,2;1'',machinery and appliances,3
17,F&M,fabrication and manufacturing,2;1'',others,4
17,F&M,construction,2;1'';1,product,1
17,F&M,construction,2;1'';1,waste,2
17,F&M,transportation,2;1'';2,product,1
17,F&M,transportation,2;1'';2,waste,2
17,F&M,machinery and appliances,2;1'';3,product,1
17,F&M,machinery and appliances,2;1'';3,waste,2
17,F&M,others,2;1'';4,product,1
17,F&M,others,2;1'';4,waste,2
17,USE,aggregate use,3,use,1
17,USE,use,3;1,transportation,1
17,USE,use,3;1,buildings,2
17,USE,use,3;1,equipment,3
17,USE,use,3;1,infrastructure,4
17,USE,use,3;1,other,5
17,USE,transportation,3;1;1,automobiles,1
17,USE,transportation,3;1;1,bicycles,2
17,USE,transportation,3;1;1,air,3
17,USE,transportation,3;1;1,marine,4
17,USE,transportation,3;1;1,rail,5
17,USE,buildings,3;1;2,residential,1
17,USE,buildings,3;1;2,commercial,2
17,USE,buildings,3;1;2,industrial,3
17,USE,buildings,3;1;2,institutional,4
17,USE,equipment,3;1;3,household electronics and appliances,1
17,USE,equipment,3;1;3,commercial electronics and appliances,2
17,USE,equipment,3;1;3,industrial machinery and appliances,3
17,USE,infrastructure,3;1;4,water distribution,1
17,USE,infrastructure,3;1;4,gas distribution,2
17,USE,infrastructure,3;1;4,oil storage and distribution,3
17,USE,infrastructure,3;1;4,storm sewers,4
17,USE,infrastructure,3;1;4,streetscape,5
17,USE,infrastructure,3;1;4,rail,6
17,USE,infrastructure,3;1;4,roads and bridges,7
17,USE,infrastructure,3;1;4,electricity transmission and distribution,8
17,USE,infrastructure,3;1;4,telecommunications,9
17,USE,other,3;1;5,scrap yards,1
17,USE,automobiles,3;1;1;1,cars,1
17,USE,automobiles,3;1;1;1,trucks,2
17,USE,automobiles,3;1;1;1,trailers,3
17,USE,automobiles,3;1;1;1,buses,4
17,USE,automobiles,3;1;1;1,motorcycles and similar,5
17,USE,automobiles,3;1;1;1,non-resident,6
17,USE,air,3;1;1;3,resident,1
17,USE,air,3;1;1;3,non-resident,2
17,USE,marine,3;1;1;4,resident,1
17,USE,marine,3;1;1;4,non-resident,2
17,USE,rail,3;1;1;5,resident,1
17,USE,rail,3;1;1;5,non-resident,2
17,USE,residential,3;1;2;1,structures,1
17,USE,residential,3;1;2;1,hvac,2
17,USE,residential,3;1;2;1,other,3
17,USE,commercial,3;1;2;2,structures,1
