substance,subsystem acronym,subsystem name,subsystem,process name,process
30,PEM,aggregate production of engineering materials,1,production of engineering materials,1
30,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
30,USE,aggregate use,3,use,1
30,USE,use,3;1,steels,1
30,USE,use,3;1,Al alloys,2
30,WMR,aggregate waste management,4,waste management,1
30,ENV,aggregate environment,5,environment,1
30,ENV,environment,5;1,tailings,1
30,ENV,environment,5;1,slag,2
30,ENV,environment,5;1,sludge slimes,3
30,ENV,environment,5;1,leachate,4
30,ENV,environment,5;1,landfill,5
30,ENV,environment,5;1,lithosphere economic resources,6
30,ENV,environment,5;1,ashes particulates,7
30,ENV,environment,5;1,hazardous waste,8
30,ENV,environment,5;1,dissipation,9
30,ENV,environment,5;1,earth orbit,10
30,ENV,environment,5;1,moon,11
30,ENV,environment,5;1,atmosphere,12
30,ENV,environment,5;1,fossil fuel resources,13
30,ENV,environment,5;1,agricultural biomass,14
30,ENV,environment,5;1,terrestrial biomass,15
30,ENV,environment,5;1,soil,16
30,ENV,environment,5;1,continental regolith,17
30,ENV,environment,5;1,freshwater,18
30,ENV,environment,5;1,oceans,19
30,ENV,environment,5;1,ocean biomass,20
30,ENV,environment,5;1,mantle,21
30,ENV,environment,5;1,core,22
30,ENV,environment,5;1,oceanic regolith,23
30,ENV,environment,5;1,consolidated crust,24
30,ENV,environment,5;1,universe non earth planetary bodies,25
30,ENV,dissipation,5;1;9,land,1
30,ENV,dissipation,5;1;9,water bodies,2
30,ENV,dissipation,5;1;9,air,3
30,ENV,oceanic regolith,5;1;23,continental margin regolith,1
30,ENV,oceanic regolith,5;1;23,seafloor regolith,2
30,ENV,consolidated crust,5;1;24,upper continental crust,1
30,ENV,consolidated crust,5;1;24,middle continental crust,2
30,ENV,consolidated crust,5;1;24,lower continental crust,3
30,ENV,consolidated crust,5;1;24,oceanic crust,4
