substance,subsystem acronym,subsystem name,subsystem,process name,process
32,PEM,aggregate production of engineering materials,1,production of engineering materials,1
32,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
32,USE,aggregate use,3,use,1
32,USE,use,3;1,steels,1
32,USE,use,3;1,superalloys,2
32,WMR,aggregate waste management,4,waste management,1
32,ENV,aggregate environment,5,environment,1
32,ENV,environment,5;1,tailings,1
32,ENV,environment,5;1,slag,2
32,ENV,environment,5;1,sludge slimes,3
32,ENV,environment,5;1,leachate,4
32,ENV,environment,5;1,landfill,5
32,ENV,environment,5;1,lithosphere economic resources,6
32,ENV,environment,5;1,ashes particulates,7
32,ENV,environment,5;1,hazardous waste,8
32,ENV,environment,5;1,dissipation,9
32,ENV,environment,5;1,earth orbit,10
32,ENV,environment,5;1,moon,11
32,ENV,environment,5;1,atmosphere,12
32,ENV,environment,5;1,fossil fuel resources,13
32,ENV,environment,5;1,agricultural biomass,14
32,ENV,environment,5;1,terrestrial biomass,15
32,ENV,environment,5;1,soil,16
32,ENV,environment,5;1,continental regolith,17
32,ENV,environment,5;1,freshwater,18
32,ENV,environment,5;1,oceans,19
32,ENV,environment,5;1,ocean biomass,20
32,ENV,environment,5;1,mantle,21
32,ENV,environment,5;1,core,22
32,ENV,environment,5;1,oceanic regolith,23
32,ENV,environment,5;1,consolidated crust,24
32,ENV,environment,5;1,universe non earth planetary bodies,25
32,ENV,dissipation,5;1;9,land,1
32,ENV,dissipation,5;1;9,water bodies,2
32,ENV,dissipation,5;1;9,air,3
32,ENV,oceanic regolith,5;1;23,continental margin regolith,1
32,ENV,oceanic regolith,5;1;23,seafloor regolith,2
32,ENV,consolidated crust,5;1;24,upper continental crust,1
32,ENV,consolidated crust,5;1;24,middle continental crust,2
32,ENV,consolidated crust,5;1;24,lower continental crust,3
32,ENV,consolidated crust,5;1;24,oceanic crust,4
