substance,subsystem acronym,subsystem name,subsystem,process name,process
33,PEM,aggregate production of engineering materials,1,production of engineering materials,1
33,PEM,production of engineering materials,1;1,mining and beneficiation,1
33,PEM,production of engineering materials,1;1,smelting,2
33,PEM,production of engineering materials,1;1,refining,3
33,PEM,mining and beneficiation,1;1;1,concentrate,1
33,PEM,mining and beneficiation,1;1;1,tailings,2
33,PEM,smelting,1;1;2,Ni matte,1
33,PEM,smelting,1;1;2,slag,2
33,PEM,refining,1;1;3,refined Ni,1
33,PEM,aggregate production of engineering materials,1,production of engineering materials,1'
33,PEM,production of engineering materials,1;1',ore and concentrate,1
33,PEM,production of engineering materials,1;1',refined metal,2
33,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
33,F&M,fabrication and manufacturing,2;1,fabrication,1
33,F&M,fabrication and manufacturing,2;1,manufacturing,2
33,F&M,fabrication,2;1;1,product,1
33,F&M,fabrication,2;1;1,scrap,2
33,F&M,fabrication,2;1;1,waste,3
33,F&M,manufacturing,2;1;2,product,1
33,F&M,manufacturing,2;1;2,scrap,2
33,F&M,manufacturing,2;1;2,waste,3
33,F&M,aggregate fabrication manufacturing,2,fabrication and manufacturing,1'
33,F&M,fabrication and manufacturing,2;1',semis and finished products,1
33,F&M,fabrication and manufacturing,2;1',scrap,2
33,F&M,fabrication and manufacturing,2;1',waste,3
33,F&M,semis and finished products,2;1';1,semis,1
33,F&M,semis and finished products,2;1';1,finished products,2
33,USE,aggregate use,3,use,1
33,USE,use,3;1,buildings and infrastructure,1
33,USE,use,3;1,transportation,2
33,USE,use,3;1,industrial machinery,3
33,USE,use,3;1,household appliances and electronics,4
33,USE,use,3;1,metal goods and other,5
33,USE,buildings and infrastructure,3;1;1,bank vaults,1
33,USE,buildings and infrastructure,3;1;1,elevators,2
33,USE,buildings and infrastructure,3;1;1,escalators,3
33,USE,buildings and infrastructure,3;1;1,kitchen sinks,4
33,USE,buildings and infrastructure,3;1;1,chimney liners,5
33,USE,buildings and infrastructure,3;1;1,smokestacks,6
33,USE,buildings and infrastructure,3;1;1,telecommunications support,7
33,USE,transportation,3;1;2,auto,1
33,USE,transportation,3;1;2,air,2
33,USE,transportation,3;1;2,marine,3
33,USE,transportation,3;1;2,rail,4
33,USE,industrial machinery,3;1;3,industrial and construction machinery,1
33,USE,industrial machinery,3;1;3,manufacturing machinery,2
33,USE,industrial machinery,3;1;3,farm machinery,3
33,USE,industrial machinery,3;1;3,farming tools,4
33,USE,industrial machinery,3;1;3,mechanics tools,5
33,USE,household appliances and electronics,3;1;4,white goods,1
33,USE,household appliances and electronics,3;1;4,electrical and electronic,2
33,USE,household appliances and electronics,3;1;4,specialized commercial equipment,3
33,USE,household appliances and electronics,3;1;4,restaurant industry,4
33,USE,metal goods and other,3;1;5,domestic equipment,1
33,USE,metal goods and other,3;1;5,commercial equipment,2
33,USE,metal goods and other,3;1;5,restaurant industry,3
33,USE,metal goods and other,3;1;5,fasteners,4
33,USE,metal goods and other,3;1;5,jewelery,5
33,USE,metal goods and other,3;1;5,coins,6
33,USE,metal goods and other,3;1;5,hospital equipment,7
33,USE,kitchen sinks,3;1;1;4,residential,1
33,USE,kitchen sinks,3;1;1;4,commercial,2
33,USE,kitchen sinks,3;1;1;4,restaurant industry,3
33,USE,auto,3;1;2;1,resident,1
