substance,subsystem acronym,subsystem name,subsystem,process name,process
35,PEM,aggregate production of engineering materials,1,production of engineering materials,1
35,PEM,production of engineering materials,1;1,production,1
35,PEM,production of engineering materials,1;1,engineering materials,2
35,PEM,production,1;1;1,mining beneficiation,1
35,PEM,production,1;1;1,smelting refining,2
35,PEM,engineering materials,1;1;2,alloys,1
35,PEM,mining beneficiation,1;1;1;1,concentrate,1
35,PEM,mining beneficiation,1;1;1;1,tailings,2
35,PEM,smelting refining,1;1;1;2,primary smelting refining,1
35,PEM,smelting refining,1;1;1;2,secondary smelting refining,2
35,PEM,primary smelting refining,1;1;1;2;1,refined Pb,1
35,PEM,primary smelting refining,1;1;1;2;1,slag,2
35,PEM,secondary smelting refining,1;1;1;2;2,refined Pb,1
35,PEM,secondary smelting refining,1;1;1;2;2,slag,2
35,PEM,production,1;1;1,mining beneficiation,1'
35,PEM,production,1;1;1,smelting refining,2'
35,PEM,smelting refining,1;1;1;2',refined Pb,1
35,PEM,smelting refining,1;1;1;2',slag,2
35,PEM,aggregate production of engineering materials,1,production of engineering materials,1'
35,PEM,production of engineering materials,1;1',ore and concentrate,1
35,PEM,production of engineering materials,1;1',refined metal,2
35,F&M,aggregate fabrication manufacturing,2,fabrication and manufacturing,1
35,F&M,fabrication and manufacturing,2;1,fabrication,1
35,F&M,fabrication and manufacturing,2;1,manufacturing,2
35,F&M,manufacturing,2;1;2,batteries,1
35,F&M,manufacturing,2;1;2,sheet pipe,2
35,F&M,manufacturing,2;1;2,cable sheathing,3
35,F&M,manufacturing,2;1;2,alloys,4
35,F&M,manufacturing,2;1;2,other,5
35,USE,batteries,2;1;2;1,batteries product,1
35,USE,batteries,2;1;2;1,batteries dissipative,2
35,USE,sheet pipe,2;1;2;2,sheet product,1
35,USE,sheet pipe,2;1;2;2,sheet pipe dissipative,2
35,USE,cable sheathing,2;1;2;3,cable sheathing product,1
35,USE,cable sheathing,2;1;2;3,cable sheathing dissipative,2
35,USE,alloys,2;1;2;4,alloys product,1
35,USE,alloys,2;1;2;4,alloys dissipative,2
35,USE,other,2;1;2;5,other product,1
35,USE,other,2;1;2;5,other dissipative,2
35,F&M,aggregate fabrication manufacturing,2,fabrication and manufacturing,1'
35,F&M,fabrication and manufacturing,2;1',semis and finished products,1
35,F&M,fabrication and manufacturing,2;1',dissipative,2
35,F&M,fabrication and manufacturing,2;1',scrap,3
35,F&M,fabrication and manufacturing,2;1',discards,4
35,F&M,semis and finished products,2;1';1,semis,1
35,F&M,semis and finished products,2;1';1,finished products,2
35,USE,aggregate use,3,use,1
35,USE,use,3;1,batteries,1
35,USE,use,3;1,sheet pipe,2
35,USE,use,3;1,cable sheathing,3
35,USE,use,3;1,alloys,4
35,USE,use,3;1,other,5
35,USE,batteries,3;1;1,batteries non-dissipative,1
35,USE,batteries,3;1;1,batteries dissipative,2
35,USE,batteries,3;1;1,batteries hibernation,3
35,USE,sheet pipe,3;1;2,sheet non-dissipative,1
35,USE,sheet pipe,3;1;2,sheet pipe dissipative,2
35,USE,sheet pipe,3;1;2,sheet pipe hibernation,3
35,USE,cable sheathing,3;1;3,cable sheathing non-dissipative,1
35,USE,cable sheathing,3;1;3,cable sheathing dissipative,2
35,USE,cable sheathing,3;1;3,cable sheathing hibernation,3
