substance,subsystem acronym,subsystem name,subsystem,process name,process
41,PEM,aggregate production of engineering materials,1,production of engineering materials,1
41,PEM,production of engineering materials,1;1,concentration,1
41,PEM,production of engineering materials,1;1,smelting,2
41,PEM,production of engineering materials,1;1,refining,3
41,PEM,concentration,1;1;1,product,1
41,PEM,concentration,1;1;1,waste,2
41,PEM,smelting,1;1;2,product,1
41,PEM,smelting,1;1;2,waste,2
41,PEM,refining,1;1;3,product,1
41,PEM,refining,1;1;3,waste,2
41,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
41,F&M,fabrication and manufacturing,2;1,fabrication,1
41,F&M,fabrication and manufacturing,2;1,manufacturing,2
41,F&M,fabrication,2;1;1,product,1
41,F&M,fabrication,2;1;1,waste,2
41,F&M,manufacturing,2;1;2,product,1
41,F&M,manufacturing,2;1;2,waste,2
41,USE,aggregate use,3,use,1
41,USE,use,3;1,non-dissipative,1
41,USE,use,3;1,dissipative,2
41,USE,dissipative,3;1;2,industrial,1
41,USE,dissipative,3;1;2,medical biomedical and dental,2
41,USE,dissipative,3;1;2,electrical and electronic,3
41,USE,dissipative,3;1;2,jewelry,4
41,USE,dissipative,3;1;2,autocatalysts,5
41,USE,dissipative,3;1;2,other,6
41,USE,aggregate use,3,use,1'
41,USE,use,3;1',electrical,1
41,USE,use,3;1',chemicals,2
41,USE,use,3;1',electrochemical,3
41,WMR,aggregate waste management,4,waste management,1
41,WMR,waste management,4;1,scrap,1
41,WMR,waste management,4;1,waste,2
41,WMR,waste,4;1;2,industrial,1
41,WMR,waste,4;1;2,medical biomedical and dental,2
41,WMR,waste,4;1;2,electrical and electronic,3
41,WMR,waste,4;1;2,jewelry,4
41,WMR,waste,4;1;2,autocatalysts,5
41,WMR,waste,4;1;2,other,6
41,ENV,aggregate environment,5,environment,1
41,ENV,environment,5;1,tailings,1
41,ENV,environment,5;1,slag,2
41,ENV,environment,5;1,sludge slimes,3
41,ENV,environment,5;1,leachate,4
41,ENV,environment,5;1,landfill,5
41,ENV,environment,5;1,lithosphere economic resources,6
41,ENV,environment,5;1,ashes particulates,7
41,ENV,environment,5;1,hazardous waste,8
41,ENV,environment,5;1,dissipation,9
41,ENV,environment,5;1,earth orbit,10
41,ENV,environment,5;1,moon,11
41,ENV,environment,5;1,atmosphere,12
41,ENV,environment,5;1,fossil fuel resources,13
41,ENV,environment,5;1,agricultural biomass,14
41,ENV,environment,5;1,terrestrial biomass,15
41,ENV,environment,5;1,soil,16
41,ENV,environment,5;1,continental regolith,17
41,ENV,environment,5;1,freshwater,18
41,ENV,environment,5;1,oceans,19
41,ENV,environment,5;1,ocean biomass,20
41,ENV,environment,5;1,mantle,21
41,ENV,environment,5;1,core,22
41,ENV,environment,5;1,oceanic regolith,23
41,ENV,environment,5;1,consolidated crust,24
41,ENV,environment,5;1,universe non earth planetary bodies,25
41,ENV,dissipation,5;1;9,land,1
41,ENV,dissipation,5;1;9,water bodies,2
41,ENV,dissipation,5;1;9,air,3
41,ENV,oceanic regolith,5;1;23,continental margin regolith,1
41,ENV,oceanic regolith,5;1;23,seafloor regolith,2
41,ENV,consolidated crust,5;1;24,upper continental crust,1
41,ENV,consolidated crust,5;1;24,middle continental crust,2
41,ENV,consolidated crust,5;1;24,lower continental crust,3
41,ENV,consolidated crust,5;1;24,oceanic crust,4
