substance,subsystem acronym,subsystem name,subsystem,process name,process
48,PEM,aggregate production of engineering materials,1,production of engineering materials,1
48,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
48,USE,aggregate use,3,use,1
48,USE,use,3;1,capacitors,1
48,USE,use,3;1,other electronics,2
48,USE,use,3;1,superalloys,3
48,WMR,aggregate waste management,4,waste management,1
48,ENV,aggregate environment,5,environment,1
48,ENV,environment,5;1,tailings,1
48,ENV,environment,5;1,slag,2
48,ENV,environment,5;1,sludge slimes,3
48,ENV,environment,5;1,leachate,4
48,ENV,environment,5;1,landfill,5
48,ENV,environment,5;1,lithosphere economic resources,6
48,ENV,environment,5;1,ashes particulates,7
48,ENV,environment,5;1,hazardous waste,8
48,ENV,environment,5;1,dissipation,9
48,ENV,environment,5;1,earth orbit,10
48,ENV,environment,5;1,moon,11
48,ENV,environment,5;1,atmosphere,12
48,ENV,environment,5;1,fossil fuel resources,13
48,ENV,environment,5;1,agricultural biomass,14
48,ENV,environment,5;1,terrestrial biomass,15
48,ENV,environment,5;1,soil,16
48,ENV,environment,5;1,continental regolith,17
48,ENV,environment,5;1,freshwater,18
48,ENV,environment,5;1,oceans,19
48,ENV,environment,5;1,ocean biomass,20
48,ENV,environment,5;1,mantle,21
48,ENV,environment,5;1,core,22
48,ENV,environment,5;1,oceanic regolith,23
48,ENV,environment,5;1,consolidated crust,24
48,ENV,environment,5;1,universe non earth planetary bodies,25
48,ENV,dissipation,5;1;9,land,1
48,ENV,dissipation,5;1;9,water bodies,2
48,ENV,dissipation,5;1;9,air,3
48,ENV,oceanic regolith,5;1;23,continental margin regolith,1
48,ENV,oceanic regolith,5;1;23,seafloor regolith,2
48,ENV,consolidated crust,5;1;24,upper continental crust,1
48,ENV,consolidated crust,5;1;24,middle continental crust,2
48,ENV,consolidated crust,5;1;24,lower continental crust,3
48,ENV,consolidated crust,5;1;24,oceanic crust,4
