substance,subsystem acronym,subsystem name,subsystem,process name,process
51,PEM,aggregate production of engineering materials,1,production of engineering materials,1
51,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
51,USE,aggregate use,3,use,1
51,USE,use,3;1,pigments,1
51,USE,use,3;1,aerospace,2
51,WMR,aggregate waste management,4,waste management,1
51,ENV,aggregate environment,5,environment,1
51,ENV,environment,5;1,tailings,1
51,ENV,environment,5;1,slag,2
51,ENV,environment,5;1,sludge slimes,3
51,ENV,environment,5;1,leachate,4
51,ENV,environment,5;1,landfill,5
51,ENV,environment,5;1,lithosphere economic resources,6
51,ENV,environment,5;1,ashes particulates,7
51,ENV,environment,5;1,hazardous waste,8
51,ENV,environment,5;1,dissipation,9
51,ENV,environment,5;1,earth orbit,10
51,ENV,environment,5;1,moon,11
51,ENV,environment,5;1,atmosphere,12
51,ENV,environment,5;1,fossil fuel resources,13
51,ENV,environment,5;1,agricultural biomass,14
51,ENV,environment,5;1,terrestrial biomass,15
51,ENV,environment,5;1,soil,16
51,ENV,environment,5;1,continental regolith,17
51,ENV,environment,5;1,freshwater,18
51,ENV,environment,5;1,oceans,19
51,ENV,environment,5;1,ocean biomass,20
51,ENV,environment,5;1,mantle,21
51,ENV,environment,5;1,core,22
51,ENV,environment,5;1,oceanic regolith,23
51,ENV,environment,5;1,consolidated crust,24
51,ENV,environment,5;1,universe non earth planetary bodies,25
51,ENV,dissipation,5;1;9,land,1
51,ENV,dissipation,5;1;9,water bodies,2
51,ENV,dissipation,5;1;9,air,3
51,ENV,oceanic regolith,5;1;23,continental margin regolith,1
51,ENV,oceanic regolith,5;1;23,seafloor regolith,2
51,ENV,consolidated crust,5;1;24,upper continental crust,1
51,ENV,consolidated crust,5;1;24,middle continental crust,2
51,ENV,consolidated crust,5;1;24,lower continental crust,3
51,ENV,consolidated crust,5;1;24,oceanic crust,4
