substance,subsystem acronym,subsystem name,subsystem,process name,process
54,PEM,aggregate production of engineering materials,1,production of engineering materials,1
54,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
54,USE,aggregate use,3,use,1
54,USE,use,3;1,steels,1
54,USE,use,3;1,Ti-Al alloys,2
54,USE,use,3;1,chemicals,3
54,WMR,aggregate waste management,4,waste management,1
54,ENV,aggregate environment,5,environment,1
54,ENV,environment,5;1,tailings,1
54,ENV,environment,5;1,slag,2
54,ENV,environment,5;1,sludge slimes,3
54,ENV,environment,5;1,leachate,4
54,ENV,environment,5;1,landfill,5
54,ENV,environment,5;1,lithosphere economic resources,6
54,ENV,environment,5;1,ashes particulates,7
54,ENV,environment,5;1,hazardous waste,8
54,ENV,environment,5;1,dissipation,9
54,ENV,environment,5;1,earth orbit,10
54,ENV,environment,5;1,moon,11
54,ENV,environment,5;1,atmosphere,12
54,ENV,environment,5;1,fossil fuel resources,13
54,ENV,environment,5;1,agricultural biomass,14
54,ENV,environment,5;1,terrestrial biomass,15
54,ENV,environment,5;1,soil,16
54,ENV,environment,5;1,continental regolith,17
54,ENV,environment,5;1,freshwater,18
54,ENV,environment,5;1,oceans,19
54,ENV,environment,5;1,ocean biomass,20
54,ENV,environment,5;1,mantle,21
54,ENV,environment,5;1,core,22
54,ENV,environment,5;1,oceanic regolith,23
54,ENV,environment,5;1,consolidated crust,24
54,ENV,environment,5;1,universe non earth planetary bodies,25
54,ENV,dissipation,5;1;9,land,1
54,ENV,dissipation,5;1;9,water bodies,2
54,ENV,dissipation,5;1;9,air,3
54,ENV,oceanic regolith,5;1;23,continental margin regolith,1
54,ENV,oceanic regolith,5;1;23,seafloor regolith,2
54,ENV,consolidated crust,5;1;24,upper continental crust,1
54,ENV,consolidated crust,5;1;24,middle continental crust,2
54,ENV,consolidated crust,5;1;24,lower continental crust,3
54,ENV,consolidated crust,5;1;24,oceanic crust,4
