substance,subsystem acronym,subsystem name,subsystem,process name,process
58,PEM,aggregate production of engineering materials,1,production of engineering materials,1
58,PEM,production of engineering materials,1;1,production,1
58,PEM,production of engineering materials,1;1,engineering materials,2
58,PEM,production,1;1;1,mining and beneficiation,1
58,PEM,production,1;1;1,refining,2
58,PEM,mining and beneficiation,1;1;1;1,mining,1
58,PEM,mining and beneficiation,1;1;1;2,beneficiation,2
58,PEM,aggregate production of engineering materials,1,production of engineering materials,1'
58,PEM,production of engineering materials,1;1',concentrate,1
58,PEM,production of engineering materials,1;1',refined Zn,2
58,PEM,production of engineering materials,1;1',tailings,3
58,PEM,production of engineering materials,1;1',slag,4
58,PEM,production of engineering materials,1;1,production,1'
58,PEM,production of engineering materials,1;1,engineering materials,2'
58,PEM,production,1;1;1',primary production,1
58,PEM,production,1;1;1',secondary production,2
58,PEM,production,1;1;1',primary production,1'
58,PEM,production,1;1;1',secondary production,2'
58,PEM,primary production,1;1;1';1',primary production product,1
58,PEM,primary production,1;1;1';1',primary production waste,2
58,PEM,secondary production,1;1;1';2',secondary production product,1
58,PEM,secondary production,1;1;1';2',secondary production waste,2
58,PEM,production,1;1;1,mining and beneficiation,1'
58,PEM,production,1;1;1,refining,2'
58,PEM,mining and beneficiation,1;1;1;1',ore and concentrate,1
58,PEM,refining,1;1;1;2',refining product,1
58,PEM,refining,1;1;1;2',refining waste,2
58,PEM,production,1;1;1,mining and beneficiation,1''
58,PEM,production,1;1;1,refining,2''
58,PEM,mining and beneficiation,1;1;1;1'',mining and beneficiation product,1
58,PEM,mining and beneficiation,1;1;1;1'',mining and beneficiation waste,2
58,PEM,refining,1;1;1;2'',primary refining,1
58,PEM,refining,1;1;1;2'',secondary refining,2
58,PEM,refining,1;1;1;2'',primary refining,1'
58,PEM,refining,1;1;1;2'',secondary refining,2'
58,PEM,primary refining,1;1;1;2'';1',primary refining product,1
58,PEM,primary refining,1;1;1;2'';1',primary refining waste,2
58,PEM,secondary refining,1;1;1;2'';2',secondary refining product,1
58,PEM,secondary refining,1;1;1;2'';2',secondary refining waste,2
58,F&M,aggregate fabrication manufacturing,2,fabrication and manufacturing,1
58,F&M,fabrication and manufacturing,2;1,fabrication,1
58,F&M,fabrication and manufacturing,2;1,manufacturing,2
58,F&M,manufacturing,2;1;2,construction,1
58,F&M,manufacturing,2;1;2,transport,2
58,F&M,manufacturing,2;1;2,industrial machinery,3
58,F&M,manufacturing,2;1;2,electrical and electronics,4
58,F&M,manufacturing,2;1;2,agriculture,5
58,F&M,manufacturing,2;1;2,miscellaneous,6
58,F&M,aggregate fabrication manufacturing,2,fabrication and manufacturing,1'
58,F&M,fabrication and manufacturing,2;1',semis and finished products,1
58,F&M,fabrication and manufacturing,2;1',discards,2
58,F&M,fabrication and manufacturing,2;1',new scrap,3
58,F&M,semis and finished products,2;1';1,semis,1
58,F&M,semis and finished products,2;1';1,finished products,2
58,F&M,fabrication and manufacturing,2;1,fabrication,1'
58,F&M,fabrication and manufacturing,2;1,manufacturing,2'
58,F&M,fabrication,2;1;1',galvanizing,1
58,F&M,fabrication,2;1;1',alloys,2
58,F&M,fabrication,2;1;1',semis,3
58,F&M,fabrication,2;1;1',chemicals,4
58,F&M,fabrication,2;1;1',dust,5
58,F&M,fabrication,2;1;1',miscellaneous,6
58,F&M,manufacturing,2;1;2',product,1
58,F&M,manufacturing,2;1;2',scrap,2
58,F&M,manufacturing,2;1;2',waste,3
58,F&M,galvanizing,2;1;1';1,continuous,1
58,F&M,galvanizing,2;1;1';1,general,2
58,F&M,galvanizing,2;1;1';1,galvalume,3
58,F&M,galvanizing,2;1;1';1,galvanized tubes,4
58,F&M,galvanizing,2;1;1';1,galvanized wire,5
58,F&M,alloys,2;1;1';2,brass and bronze,1
58,F&M,alloys,2;1;1';2,other alloys,2
58,F&M,semis,2;1;1';3,sheet and roll,1
58,F&M,semis,2;1;1';3,other,2
58,F&M,chemicals,2;1;1';4,oxides,1
58,F&M,chemicals,2;1;1';4,other chemicals,2
58,F&M,dust,2;1;1';5,lithopone,1
58,F&M,miscellaneous,2;1;1';6,batteries,1
58,F&M,miscellaneous,2;1;1';6,thermal spray,2
58,F&M,other,2;1;1';3;2,wire,1
58,F&M,other,2;1;1';3;2,other,2
58,F&M,fabrication and manufacturing,2;1,fabrication,1''
58,F&M,fabrication and manufacturing,2;1,manufacturing,2''
58,F&M,fabrication,2;1;1'',product,1
58,F&M,fabrication,2;1;1'',scrap,2
58,F&M,fabrication,2;1;1'',waste,3
58,F&M,manufacturing,2;1;2'',product,1
58,F&M,manufacturing,2;1;2'',scrap,2
58,F&M,manufacturing,2;1;2'',waste,3
58,F&M,fabrication and manufacturing,2;1,fabrication,1'''
58,F&M,fabrication and manufacturing,2;1,manufacturing,2'''
58,F&M,manufacturing,2;1;2''',galvanized,1
58,F&M,manufacturing,2;1;2''',other,2
58,F&M,galvanized,2;1;2''';1,product,1
58,F&M,galvanized,2;1;2''';1,scrap,2
58,F&M,galvanized,2;1;2''';1,waste,3
58,F&M,other,2;1;2''';2,product,1
58,F&M,other,2;1;2''';2,scrap,2
58,F&M,other,2;1;2''';2,waste,3
58,F&M,fabrication,2;1;1',galvanizing,1'
58,F&M,fabrication,2;1;1',alloys,2'
58,F&M,fabrication,2;1;1',semis,3'
58,F&M,fabrication,2;1;1',chemicals,4'
58,F&M,fabrication,2;1;1',dust,5'
58,F&M,fabrication,2;1;1',miscellaneous,6'
58,F&M,galvanizing,2;1;1';1',product,1
58,F&M,galvanizing,2;1;1';1',scrap,2
58,F&M,galvanizing,2;1;1';1',waste,3
58,F&M,semis,2;1;1';3',product,1
58,F&M,semis,2;1;1';3',scrap,2
58,F&M,semis,2;1;1';3',waste,3
58,F&M,chemicals,2;1;1';4',product,1
58,F&M,chemicals,2;1;1';4',scrap,2
58,F&M,chemicals,2;1;1';4',waste,3
58,F&M,dust,2;1;1';5',product,1
58,F&M,dust,2;1;1';5',scrap,2
58,F&M,dust,2;1;1';5',waste,3
58,F&M,miscellaneous,2;1;1';6',product,1
58,F&M,miscellaneous,2;1;1';6',scrap,2
58,F&M,miscellaneous,2;1;1';6',waste,3
58,F&M,galvanizing,2;1;1';1,continuous,1'
58,F&M,galvanizing,2;1;1';1,general,2'
58,F&M,galvanizing,2;1;1';1,galvalume,3'
58,F&M,galvanizing,2;1;1';1,galvanized tubes,4'
58,F&M,galvanizing,2;1;1';1,galvanized wire,5'
58,F&M,continuous,2;1;1';1;1',product,1
58,F&M,continuous,2;1;1';1;1',scrap,2
58,F&M,continuous,2;1;1';1;1',waste,3
58,F&M,general,2;1;1';1;2',product,1
58,F&M,general,2;1;1';1;2',scrap,2
58,F&M,general,2;1;1';1;2',waste,3
58,F&M,galvalume,2;1;1';1;3',product,1
58,F&M,galvalume,2;1;1';1;3',scrap,2
58,F&M,galvalume,2;1;1';1;3',waste,3
58,F&M,galvanized tubes,2;1;1';1;4',product,1
58,F&M,galvanized tubes,2;1;1';1;4',scrap,2
58,F&M,galvanized tubes,2;1;1';1;4',waste,3
58,F&M,galvanized wire,2;1;1';1;5',product,1
58,F&M,galvanized wire,2;1;1';1;5',scrap,2
58,F&M,galvanized wire,2;1;1';1;5',waste,3
58,F&M,manufacturing,2;1;2,construction,1'
58,F&M,manufacturing,2;1;2,transport,2'
58,F&M,manufacturing,2;1;2,industrial machinery,3'
58,F&M,manufacturing,2;1;2,electrical and electronics,4'
58,F&M,manufacturing,2;1;2,agriculture,5'
58,F&M,manufacturing,2;1;2,miscellaneous,6'
58,F&M,construction,2;1;2;1',product,1
58,F&M,construction,2;1;2;1',scrap,2
58,F&M,construction,2;1;2;1',waste,3
58,F&M,transport,2;1;2;2',product,1
58,F&M,transport,2;1;2;2',scrap,2
