substance,subsystem acronym,subsystem name,subsystem,process name,process
64,PEM,aggregate production of engineering materials,1,production of engineering materials,1
64,PEM,production of engineering materials,1;1,production,1
64,PEM,production of engineering materials,1;1,engineering materials,2
64,PEM,production,1;1;1,primary production,1
64,PEM,production,1;1;1,secondary production,2
64,PEM,primary production,1;1;1;1,bauxite mining,1
64,PEM,primary production,1;1;1;1,alumina refining,2
64,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
64,USE,aggregate use,3,use,1
64,WMR,aggregate waste management,4,waste management,1
64,ENV,aggregate environment,5,environment,1
64,ENV,environment,5;1,tailings,1
64,ENV,environment,5;1,slag,2
64,ENV,environment,5;1,sludge slimes,3
64,ENV,environment,5;1,leachate,4
64,ENV,environment,5;1,landfill,5
64,ENV,environment,5;1,lithosphere economic resources,6
64,ENV,environment,5;1,ashes particulates,7
64,ENV,environment,5;1,hazardous waste,8
64,ENV,environment,5;1,dissipation,9
64,ENV,environment,5;1,earth orbit,10
64,ENV,environment,5;1,moon,11
64,ENV,environment,5;1,atmosphere,12
64,ENV,environment,5;1,fossil fuel resources,13
64,ENV,environment,5;1,agricultural biomass,14
64,ENV,environment,5;1,terrestrial biomass,15
64,ENV,environment,5;1,soil,16
64,ENV,environment,5;1,continental regolith,17
64,ENV,environment,5;1,freshwater,18
64,ENV,environment,5;1,oceans,19
64,ENV,environment,5;1,ocean biomass,20
64,ENV,environment,5;1,mantle,21
64,ENV,environment,5;1,core,22
64,ENV,environment,5;1,oceanic regolith,23
64,ENV,environment,5;1,consolidated crust,24
64,ENV,environment,5;1,universe non earth planetary bodies,25
64,ENV,dissipation,5;1;9,land,1
64,ENV,dissipation,5;1;9,water bodies,2
64,ENV,dissipation,5;1;9,air,3
64,ENV,oceanic regolith,5;1;23,continental margin regolith,1
64,ENV,oceanic regolith,5;1;23,seafloor regolith,2
64,ENV,consolidated crust,5;1;24,upper continental crust,1
64,ENV,consolidated crust,5;1;24,middle continental crust,2
64,ENV,consolidated crust,5;1;24,lower continental crust,3
64,ENV,consolidated crust,5;1;24,oceanic crust,4
